ID	Severity	Rule
ibr-cl-01	Fatal	The document type code MUST be coded by the invoice and credit note related code lists of UNTDID 1001.
ibr-cl-03	Fatal	currencyID MUST be coded using ISO code list 4217 alpha-3
ibr-cl-04	Fatal	Invoice currency code MUST be coded using ISO code list 4217 alpha-3
ibr-cl-05	Fatal	Tax currency code MUST be coded using ISO code list 4217 alpha-3
ibr-cl-07	Fatal	Object identifier identification scheme identifier MUST be coded using a restriction of UNTDID 1153.
ibr-cl-10	Fatal	Any identifier identification scheme identifier MUST be coded using one of the ISO 6523 ICD list.
ibr-cl-11	Fatal	Any registration identifier identification scheme identifier MUST be coded using one of the ISO 6523 ICD list.
ibr-cl-13	Fatal	Item classification identifier identification scheme identifier MUST be coded using one of the UNTDID 7143 list.
ibr-cl-14	Fatal	Country codes in an invoice MUST be coded using ISO code list 3166-1
ibr-cl-15	Fatal	Origin country codes in an invoice MUST be coded using ISO code list 3166-1
ibr-cl-16	Fatal	Payment means in an invoice MUST be coded using extended UNCL4461 code list
ibr-cl-19	Fatal	Coded allowance reasons MUST belong to the UNCL 5189 code list
ibr-cl-20	Fatal	Coded charge reasons MUST belong to the UNCL 7161 code list
ibr-cl-21	Fatal	Item standard identifier scheme identifier MUST belong to the ISO 6523 ICD code list
ibr-cl-23	Fatal	Unit code MUST be coded according to the UN/ECE Recommendation 20 with Rec 21 extension
ibr-cl-24	Fatal	For Mime code in attribute use restricted set of MIMEMediaType.
ibr-cl-25	Fatal	Endpoint identifier scheme identifier MUST belong to the CEF EAS code list
ibr-cl-26	Fatal	Delivery location identifier scheme identifier MUST belong to the ISO 6523 ICD code list
PEPPOL-EN16931-CL001	Fatal	Mime code must be according to subset of IANA code list.
PEPPOL-EN16931-CL002	Fatal	Reason code MUST be according to subset of UNCL 5189 D.16B.
PEPPOL-EN16931-CL003	Fatal	Reason code MUST be according to UNCL 7161 D.16B.
PEPPOL-EN16931-CL006	Fatal	Invoice period description code must be according to UNCL 2005 D.16B.
PEPPOL-EN16931-CL007	Fatal	Currency code must be according to ISO 4217:2005
