seq,module,id,level,parent,name,card,type,label,description,label_ja,description_ja
1530,bus,bus-30,4,busG-6,webSiteURL,0..1,webSiteURLItemType,Web Site URL,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。
1540,bus,busG-7,3,corG-3,contactInformation,0..n,_,Contact Information,Information about contacts.,【担当者情報】,担当者に関する情報。
1550,bus,bus-31,4,busG-7,contactPrefix,0..1,gl-gen:contactPrefixItemType,Prefix,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など)
1560,bus,bus-32,4,busG-7,contactLastName,0..1,gl-gen:contactLastNameItemType,Last Name,Last or family name,姓,姓
1570,bus,bus-33,4,busG-7,contactFirstName,0..1,gl-gen:contactFirstNameItemType,First Name,First or given name,名,名、クリスチャンネーム
1580,bus,bus-34,4,busG-7,contactSuffix,0..1,gl-gen:contactSuffixItemType,Suffix,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など)
1590,bus,bus-35,4,busG-7,contactAttentionLine,0..1,gl-gen:contactAttentionLineItemType,Attention Line,Attention Line,アテンションライン,アテンションライン
1600,bus,bus-36,4,busG-7,contactPositionRole,0..1,gl-gen:contactPositionRoleItemType,Position/Role,Position or role,地位/役職,地位や役職。
1610,bus,busG-8,4,busG-7,contactPhone,0..n,_,Contact Phone Number,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
1620,bus,bus-37,5,busG-8,contactPhoneNumberDescription,0..1,gl-gen:phoneNumberDescriptionItemType,Contact Phone Number Description,"Contact Phone Number Description such as Main, Investor relations, etc.",担当者電話番号説明,代表、IR用などの、担当者電話番号の説明。\n[設定値のリスト]\n(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) 
1630,bus,bus-38,5,busG-8,contactPhoneNumber,0..1,gl-gen:phoneNumberItemType,Contact Phone Number,Contact phone number referred to in the description.,担当者電話番号,説明で示される担当者の電話番号。
1640,bus,busG-9,4,busG-7,contactFax,0..n,_,Contact Fax Number Structure,Contact Fax Number Structure,【担当者FAX番号】,担当者のFAX番号の構造体。
1650,bus,bus-39,5,busG-9,contactFaxNumberUsage,0..1,gl-gen:faxNumberUsageItemType,Contact Fax Number Usage,"Contact Fax Number Usage (e.g. orders, head office, IR)",担当者FAX番号用途,担当者のFAX番号の用途。(注文、本社、IRなど)
1660,bus,bus-40,5,busG-9,contactFaxNumber,0..1,gl-gen:faxNumberItemType,Contact Fax Number,Contact Fax Number,担当者FAX番号,担当者のFAX番号。
1670,bus,busG-10,4,busG-7,contactEMail,0..n,_,Contact Email Address Structure,Contact E-mail address structure,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。\n
1680,bus,bus-41,5,busG-10,contactEmailAddressUsage,0..1,gl-gen:emailAddressUsageItemType,Contact Email Address Usage,"Contact email address usage (e.g. orders, head office, IR)",担当者Eメールアドレス用途,担当者のEメールアドレスの用途。(注文、本社、IRなど)\n
1690,bus,bus-42,5,busG-10,contactEmailAddress,0..1,gl-gen:emailAddressItemType,Contact Email Address,Contact email address,担当者Eメールアドレス,担当者のEメールアドレス。
1700,bus,bus-43,4,busG-7,contactType,0..1,gl-gen:contactTypeItemType,Role of Contact,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。
1710,bus,bus-44,4,busG-7,contactLocationIdentifierCrossReference,0..1,gl-gen:locationIdentifierItemType,Location ID cross reference,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
1720,bus,bus-45,4,busG-7,contactActive,0..1,gl-gen:activeItemType,Contact Active,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。
1730,bus,bus-46,3,corG-3,businessDescription,0..1,businessDescriptionItemType,Business Description,Description of the nature of the business of the entity.,業種説明,事業体の事業の種類についての説明。
1740,bus,bus-47,3,corG-3,fiscalYearStart,0..1,fiscalYearStartItemType,Fiscal Year Start,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
1750,bus,bus-48,3,corG-3,fiscalYearEnd,0..1,fiscalYearEndItemType,Fiscal Year End,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
1760,bus,busG-11,3,corG-3,organizationAccountingMethodStructure,0..n,_,Accounting Method Structure,Section for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
1770,bus,bus-49,4,busG-11,organizationAccountingMethod,0..1,gl-gen:accountingMethodItemType,Accounting Method,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他\n[設定値のリスト]\n(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)\n
1780,bus,bus-50,4,busG-11,organizationAccountingMethodDescription,0..1,gl-gen:accountingMethodDescriptionItemType,Accounting Method Description,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。
1790,bus,bus-51,4,busG-11,organizationAccountingMethodPurpose,0..1,gl-gen:accountingMethodPurposeItemType,Accounting Method Purpose,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)
1800,bus,bus-52,4,busG-11,organizationAccountingMethodPurposeDescription,0..1,gl-gen:accountingMethodPurposeDescriptionItemType,Accounting Method Purpose Description,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。
1810,bus,bus-53,4,busG-11,organizationAccountingMethodStartDate,0..1,gl-gen:accountingMethodStartDateItemType,Accounting Method Start Date,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。
1820,bus,bus-54,4,busG-11,organizationAccountingMethodEndDate,0..1,gl-gen:accountingMethodEndDateItemType,Accounting Method End Date,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。
1830,bus,busG-12,3,corG-3,accountantInformation,0..n,_,Accountant Information,Information about the relevant external accountant,【会計士情報】,関連する外部会計士に関する情報。
1840,bus,bus-55,4,busG-12,accountantName,0..1,accountantNameItemType,Accountant Name,Name of the accountant,会計士名,会計士の名前。
1850,bus,busG-13,4,busG-12,accountantAddress,0..n,_,Accountant Address,Section which contains accountant address information.,【会計士住所】,会計士の住所情報を含むセクション。
1860,bus,bus-56,5,busG-13,accountantAddressName,0..1,gl-gen:addressNameItemType,Address Name,Address Name for Accountant,会計士住所名,会計士の住所の名前。
1870,bus,bus-57,5,busG-13,accountantAddressDescription,0..1,gl-gen:addressDescriptionItemType,Address Description,Address Description for Accountant,会計士住所説明,会計士の住所の説明。
1880,bus,bus-58,5,busG-13,accountantAddressPurpose,0..1,gl-gen:addressPurposeItemType,Address Purpose,Address Purpose,会計士住所目的,住所の目的。
1890,bus,bus-59,5,busG-13,accountantAddressLocationIdentifier,0..1,gl-gen:locationIdentifierItemType,Accountant Location Identifier,A code used to identify the accountant location and to associate it with contacts and transactions,会計士所在地識別子,会計士の所在地を識別したり、窓口や取引と関係付けるコード。
1900,bus,bus-60,5,busG-13,accountantBuildingNumber,0..1,gl-gen:buildingNumberItemType,Building Number,Building Number for Accountant,会計士住所建物番号,会計士の建物番号。
1910,bus,bus-61,5,busG-13,accountantStreet,0..1,gl-gen:streetItemType,Street,Street address of the accountant,会計士住所通り,会計士の住所の通り。
1920,bus,bus-62,5,busG-13,accountantAddressStreet2,0..1,gl-gen:street2ItemType,Address Detail,Address Detail for Accountant,会計士住所詳細,会計士の住所詳細。
1930,bus,bus-63,5,busG-13,accountantCity,0..1,gl-gen:cityItemType,City,City of the accountant,会計士住所都市,会計士の住所の都市。
1940,bus,bus-64,5,busG-13,accountantStateOrProvince,0..1,gl-gen:stateOrProvinceItemType,State or Province,"State, province or region of the accountant",会計士住所州,会計士の住所の州や地方。
1950,bus,bus-65,5,busG-13,accountantCountry,0..1,gl-gen:countryItemType,Country,Country of accountant,会計士住所国,会計士の住所の国。
1960,bus,bus-66,5,busG-13,accountantZipOrPostalCode,0..1,gl-gen:zipOrPostalCodeItemType,Zip or Postal Code,Zip or other postal code of the accountant,会計士住所郵便番号,会計士の住所の郵便番号。
1970,bus,bus-67,5,busG-13,accountantAddressActive,0..1,gl-gen:activeItemType,Accountant Address Active,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",会計士住所有効性,会計士の住所が有効か無効かを示すブール値。
1980,bus,bus-68,4,busG-12,accountantEngagementType,0..1,accountantEngagementTypeItemType,Type of Engagement,Type of engagement being performed by external accountant,契約種別,外部会計士によって実行される契約の種別。\n[設定値のリスト]\n(audit：監査)、(review：検査)、(compilation：調整)、(tax：税)、(other：その他) 
1990,bus,bus-69,4,busG-12,accountantEngagementTypeDescription,0..1,accountantEngagementTypeDescriptionItemType,Type of Engagement Description,Free format description of the type of engagement,契約種別説明,契約種別の説明。
2000,bus,busG-14,4,busG-12,accountantContactInformation,0..n,_,Accountant Contact Information,Accountant Contact Information Structure,【会計士担当者情報】,会計士の担当者情報の構造体。
2010,bus,bus-70,5,busG-14,accountantContactPrefix,0..1,gl-gen:contactPrefixItemType,Prefix,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Accountant Contact",会計士担当者敬称,会計士の担当者の敬称(Dr.、Mr.、Mrs.など)\n
2020,bus,bus-71,5,busG-14,accountantContactLastName,0..1,gl-gen:contactLastNameItemType,Last Name,Family Name for Accountant Contact,会計士担当者姓,会計士の担当者の姓\n
2030,bus,bus-72,5,busG-14,accountantContactFirstName,0..1,gl-gen:contactFirstNameItemType,First  Name,First or Given Name for Accountant Contact,会計士担当者名,会計士の担当者の名、クリスチャンネーム\n
2040,bus,bus-73,5,busG-14,accountantContactSuffix,0..1,gl-gen:contactSuffixItemType,Suffix,"Suffix (e.g. MD, CPA, Jr., etc.)",会計士担当者付加名称,付加名称(MD、CPA、Jr.など)\n
2050,bus,bus-74,5,busG-14,accountantContactAttentionLine,0..1,gl-gen:contactAttentionLineType,Attention Line,Attention Line for Accountant Contact,会計士担当者アテンションライン,会計士の担当者のアテンションライン\n
2060,bus,bus-75,5,busG-14,accountantContactPositionRole,0..1,gl-gen:contactPositionRoleItemType,Position/Role,Position or Role for Accountant Contact,会計士担当者地位/役職,会計士の担当者の地位や役職\n
2070,bus,busG-15,5,busG-14,accountantContactPhone,0..n,_,Contact Phone,Phone Number for Accountant Contact,【会計士担当者電話番号】,会計士の担当者の電話番号\n
2080,bus,bus-76,6,busG-15,accountantContactPhoneNumberDescription,0..1,gl-gen:phoneNumberDescriptionItemType,Accountant Contact Phone Number Description,"Accountant Contact Phone Number Description such as Main, Investor relations, etc.",会計士担当者電話番号説明,代表、IR用などの、会計士の担当者の電話番号の説明。\n[設定値のリスト]\n(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) 
2090,bus,bus-77,6,busG-15,accountantContactPhoneNumber,0..1,gl-gen:phoneNumberItemType,Accountant Contact Phone Number,Accountant Contact phone number referred to in the description.,会計士担当者電話番号,説明で示される会計士の担当者の電話番号。\n
2100,bus,busG-16,5,busG-14,accountantContactFax,0..n,_,Contact Fax Number Structure,Accountant Contact Fax Number Structure,【会計士担当者FAX番号】,会計士の担当者のFAX番号の構造体。
2110,bus,bus-78,6,busG-16,accountantContactFaxNumber,0..1,gl-gen:faxNumberItemType,Accountant Contact Fax Number,Accountant Contact Fax Number,会計士担当者FAX番号,会計士の担当者のFAX番号。
2120,bus,bus-79,6,busG-16,accountantContactFaxNumberUsage,0..1,gl-gen:faxNumberUsageItemType,Accountant Contact Fax Number Usage,"Accountant Contact Fax Number Usage (e.g. orders, head office, IR)",会計士担当者FAX番号用途,会計士の担当者のFAX番号の用途。(注文、本社、IRなど)\n
2130,bus,busG-17,5,busG-14,accountantContactEmail,0..n,_,Contact Email Address Structure,Accountant contact E-mail address structure,【会計士担当者Eメールアドレス】,会計士の担当者のEメールアドレスの構造体。
2140,bus,bus-80,6,busG-17,accountantContactEmailAddressUsage,0..1,gl-gen:emailAddressUsageItemType,Accountant Contact Email Address Usage,"Accountant Contact email address usage (e.g. orders, head office, IR)",会計士担当者Eメールアドレス用途,会計士の担当者のEメールアドレスの用途。(注文、本社、IRなど)\n
2150,bus,bus-81,6,busG-17,accountantContactEmailAddress,0..1,gl-gen:emailAddressItemType,Accountant Contact Email Address,Accountant Contact email address,会計士担当者Eメールアドレス,会計士の担当者のEメールアドレス。
2160,bus,bus-82,5,busG-14,accountantContactType,0..1,gl-gen:contactTypeItemType,Accountant Contact Type,Contact Type for Accountant Contact,会計士担当者役割,会計士の担当者の種別\n
