SemSort	ID	Section	PINTCard	Aligned	AlignedCard	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation2	Example	SyntSort	element	UBLdatatype	XPath	selectors	Codelist	SyntaxCard	UBLOccurrence	CAR	AlignedRule	SharedRule	CodelistRule	PooledRule
	ibt-125-1				1..1	1	Attached document Mime code		Code	A code indentifying the file type.								/ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode			1..1						
	ibt-125-2				1..1	1	Attached document Filename		Text									/ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename			1..1						
																cac:ExternalReference		/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode != 130]/cac:Attachment/cac:ExternalReference			0..1						
	ibt-124	Shared			0..1	1	External document location		Text	The URL (Uniform Resource Locator) that identifies where the external document is located.						cbc:URI		/ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI			1..1						
																cac:ProjectReference		/ubl:Invoice/cac:ProjectReference			0..1						
	ibt-011	Shared			0..1	0	Project reference		Document Reference	The identification of the project the invoice refers to						cbc:ID		/ubl:Invoice/cac:ProjectReference/cbc:ID			1..1						
	ibg-04	Shared			1..1	0	SELLER			A group of business terms providing information about the Seller.						cac:AccountingSupplierParty		/ubl:Invoice/cac:AccountingSupplierParty			1..1						
																cac:Party		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party			1..1						
	ibt-034	Shared			1..1	1	Seller electronic address		Identifier	Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.						cbc:EndpointID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID			1..1						
	ibt-034-1				1..1	1	Scheme identifier		Code	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.								/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID			1..1						
																cac:PartyIdentification		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification			0..n						
	ibt-029	Shared			0..n	1	Seller identifier		Identifier	An identification of the Seller.						cbc:ID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1						
	ibt-029-1				0..1	1	Scheme identifier		Code	If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID			0..1						
																cac:PartyIdentification		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cac:ID/@schemeID = ""SEPA""]"	"[cac:ID/@schemeID = ""SEPA""]"		0..1						
	ibt-090	Aligned			0..1	1	Bank assigned creditor identifier		Identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.						cbc:ID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1						
																		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cac:ID/@schemeID = ""SEPA""]/cbc:ID/@schemeID"			1..1						
																cac:PartyName		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName			0..1						
	ibt-028	Shared			0..1	1	Seller trading name		Text	A name by which the Seller is known, other than Seller name (also known as Business name).						cbc:Name		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name			1..1						
	ibg-05	Shared			1..1	1	SELLER POSTAL ADDRESS			A group of business terms providing information about the address of the Seller.						cac:PostalAddress		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress			1..1						
	ibt-035	Shared			0..1	1	Seller address line 1		Text	The main address line in an address.						cbc:StreetName		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1						
	ibt-036	Shared			0..1	1	Seller address line 2		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:AdditionalStreetName		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1						
	ibt-037	Shared			0..1	1	Seller city		Text	The common name of the city, town or village, where the Seller address is located.						cbc:CityName		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1						
	ibt-038	Shared			0..1	1	Seller post code		Text	The identifier for an addressable group of properties according to the relevant postal service.						cbc:PostalZone		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1						
	ibt-039	Shared			0..1	1	Seller country subdivision		Text	The subdivision of a country. Such as a region, a county, a state, a province etc..						cbc:CountrySubentity		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1						
																cac:AddressLine		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine			0..1						
	ibt-162	Shared			0..1	1	Seller address line 3		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:Line		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1						
																cac:Country		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country			1..1						
	ibt-040	Shared			1..1	1	Seller country code		Code	A code that identifies the country.						cbc:IdentificationCode		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode			1..1						
																cac:PartyTaxScheme		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme = ""VAT""]"	"[cac:TaxScheme = ""VAT""]"		0..1						
	ibt-031	Aligned			0..1	1	Seller TAX identifier		Identifier	The Seller’s TAX identifier (also known as Seller TAX identification number).						cbc:CompanyID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			1..1						
																cac:TaxScheme		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme = ""VAT""]/cac:TaxScheme"			1..1						
																cbc:ID		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme = ""VAT""]/cac:TaxScheme/cbc:ID"			1..1						
																cac:PartyTaxScheme		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme != ""VAT""]"	"[cac:TaxScheme != ""VAT""]"		0..1						
	ibt-032	Aligned			0..1	1	Seller TAX registration identifier		Identifier	The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.						cbc:CompanyID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			1..1						
																cac:TaxScheme		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme != ""VAT""]/cac:TaxScheme"			1..1						
																cbc:ID		"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme != ""VAT""]/cac:TaxScheme/cbc:ID"			1..1						
																cac:PartyLegalEntity		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity			1..1						
	ibt-027	Shared			1..1	1	Seller name		Text	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.						cbc:RegistrationName		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			1..1						
	ibt-030	Shared			0..1	1	Seller legal registration identifier		Identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.						cbc:CompanyID		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1						
	ibt-030-1				0..1	1	Scheme identifier		Code	If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID			0..1						
	ibt-033	Shared			0..1	1	Seller additional legal information		Text	Additional legal information relevant for the Seller.						cbc:CompanyLegalForm		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm			0..1						
	ibg-06	Shared			0..1	1	SELLER CONTACT			A group of business terms providing contact information about the Seller.						cac:Contact		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact			0..1						
	ibt-041	Shared			0..1	1	Seller contact point		Text	A contact point for a legal entity or person.						cbc:Name		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name			0..1						
	ibt-042	Shared			0..1	1	Seller contact telephone number		Text	A phone number for the contact point.						cbc:Telephone		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone			0..1						
	ibt-043	Shared			0..1	1	Seller contact email address		Text	An e-mail address for the contact point.						cbc:ElectronicMail		/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1						
	ibg-07	Shared			1..1	0	BUYER			A group of business terms providing information about the Buyer.						cac:AccountingCustomerParty		/ubl:Invoice/cac:AccountingCustomerParty			1..1						
																cac:Party		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party			1..1						
	ibt-049	Shared			1..1	1	Buyer electronic address		Identifier	Identifies the Buyer’s electronic address to which the invoice is delivered.						cbc:EndpointID		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID			1..1						
	ibt-049-1				1..1	1	Scheme identifier		Code	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.								/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID			1..1						
																cac:PartyIdentification		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification			0..1						
	ibt-046	Shared			0..1	1	Buyer identifier		Identifier	An identifier of the Buyer.						cbc:ID		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1						
	ibt-046-1				0..1	1	Scheme identifier		Code	If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID			0..1						
																cac:PartyName		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName			0..1						
	ibt-045	Shared			0..1	1	Buyer trading name		Text	A name by which the Buyer is known, other than Buyer name (also known as Business name).						cbc:Name		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name			1..1						
	ibg-08	Shared			1..1	1	BUYER POSTAL ADDRESS			A group of business terms providing information about the postal address for the Buyer.						cac:PostalAddress		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress			1..1						
	ibt-050	Shared			0..1	1	Buyer address line 1		Text	The main address line in an address.						cbc:StreetName		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1						
	ibt-051	Shared			0..1	1	Buyer address line 2		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:AdditionalStreetName		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1						
	ibt-052	Shared			0..1	1	Buyer city		Text	The common name of the city, town or village, where the Buyer’s address is located.						cbc:CityName		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1						
	ibt-053	Shared			0..1	1	Buyer post code		Text	The identifier for an addressable group of properties according to the relevant postal service.						cbc:PostalZone		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1						
	ibt-054	Shared			0..1	1	Buyer country subdivision		Text	The subdivision of a country. Such as a region, a county, a state, a province etc..						cbc:CountrySubentity		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1						
																cac:AddressLine		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine			0..1						
	ibt-163	Shared			0..1	1	Buyer address line 3		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:Line		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1						
																cac:Country		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country			1..1						
	ibt-055	Shared			1..1	1	Buyer country code		Code	A code that identifies the country.						cbc:IdentificationCode		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode			1..1						
																cac:PartyTaxScheme		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme			0..1						
	ibt-048	Aligned			0..1	1	Buyer TAX identifier		Identifier	The Buyer’s TAX identifier (also known as Buyer TAX identification number).						cbc:CompanyID		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			1..1						
																cac:TaxScheme		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme			1..1						
							Buyer TAX identifier									cbc:ID		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			1..1						
																cac:PartyLegalEntity		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity			1..1						
	ibt-044	Shared			1..1	1	Buyer name		Text	The full name of the Buyer.						cbc:RegistrationName		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			1..1						
	ibt-047	Shared			0..1	1	Buyer legal registration identifier		Identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.						cbc:CompanyID		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1						
	ibt-047-1				0..1	1	Scheme identifier		Code	If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID			0..1						
	ibg-09	Shared			0..1	1	BUYER CONTACT			A group of business terms providing contact information relevant for the Buyer.						cac:Contact		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact			0..1						
	ibt-056	Shared			0..1	1	Buyer contact point		Text	A contact point for a legal entity or person.						cbc:Name		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name			0..1						
	ibt-057	Shared			0..1	1	Buyer contact telephone number		Text	A phone number for the contact point.						cbc:Telephone		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone			0..1						
	ibt-058	Shared			0..1	1	Buyer contact email address		Text	An e-mail address for the contact point.						cbc:ElectronicMail		/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1						
	ibg-10	Shared			0..1	0	PAYEE			A group of business terms providing information about the Payee, i.e. the role that receives the payment.						cac:PayeeParty		/ubl:Invoice/cac:PayeeParty			0..1						
																cac:PartyIdentification		/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification			0..1						
	ibt-060	Shared			0..1	1	Payee identifier		Identifier	An identifier for the Payee.						cbc:ID		/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID			1..1						
	ibt-060-1				0..1	1	Scheme identifier		Code	If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID			0..1						
																cac:PartyName		/ubl:Invoice/cac:PayeeParty/cac:PartyName			1..1						
	ibt-059	Shared			1..1	1	Payee name		Text	The name of the Payee.						cbc:Name		/ubl:Invoice/cac:PayeeParty/cac:PartyName/cbc:Name			1..1						
																cac:PartyLegalEntity		/ubl:Invoice/cac:PayeeParty/cac:PartyLegalEntity			0..1						
	ibt-061	Shared			0..1	1	Payee legal registration identifier		Identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.						cbc:CompanyID		/ubl:Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID			1..1						
	ibt-061-1				0..1	1	Scheme identifier		Code	If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID			0..1						
	ibg-11	Aligned			0..1	0	SELLER TAX REPRESENTATIVE PARTY			A group of business terms providing information about the Seller’s tax representative.						cac:TaxRepresentativeParty		/ubl:Invoice/cac:TaxRepresentativeParty			0..1						
																cac:PartyName		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyName			1..1						
	ibt-062	Aligned			1..1	1	Seller tax representative name		Text	The full name of the Seller’s tax representative party.						cbc:Name		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name			1..1						
	ibg-12	Aligned			1..1	1	SELLER TAX REPRESENTATIVE POSTAL ADDRESS			A group of business terms providing information about the postal address for the tax representative party.						cac:PostalAddress		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress			1..1						
	ibt-064	Aligned			0..1	1	Tax representative address line 1		Text	The main address line in an address.						cbc:StreetName		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName			0..1						
	ibt-065	Aligned			0..1	1	Tax representative address line 2		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:AdditionalStreetName		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName			0..1						
	ibt-066	Aligned			0..1	1	Tax representative city		Text	The common name of the city, town or village, where the tax representative address is located.						cbc:CityName		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName			0..1						
	ibt-067	Aligned			0..1	1	Tax representative post code		Text	The identifier for an addressable group of properties according to the relevant postal service.						cbc:PostalZone		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone			0..1						
	ibt-068	Aligned			0..1	1	Tax representative country subdivision		Text	The subdivision of a country.						cbc:CountrySubentity		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity			0..1						
																cac:AddressLine		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine			0..1						
	ibt-164	Aligned			0..1	1	Tax representative address line 3		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:Line		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1						
																cac:Country		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country			1..1						
	ibt-069	Aligned			1..1	1	Tax representative country code		Code	A code that identifies the country.						cbc:IdentificationCode		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode			1..1						
																cac:PartyTaxScheme		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme			1..1						
	ibt-063	Aligned			1..1	1	Seller tax representative TAX identifier		Identifier	The TAX identifier of the Seller’s tax representative party.						cbc:CompanyID		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID			1..1						
																cac:TaxScheme		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme			1..1						
																cbc:ID		/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			1..1						
	ibg-13	Shared			0..1	0	DELIVERY INFORMATION			A group of business terms providing information about where and when the goods and services invoiced are delivered.						cac:Delivery		/ubl:Invoice/cac:Delivery			0..1						
	ibt-072	Shared			0..1	1	Actual delivery date		Date	the date on which the supply of goods or services was made or completed.						cbc:ActualDeliveryDate		/ubl:Invoice/cac:Delivery/cbc:ActualDeliveryDate			0..1						
