SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation\ja	Example Value (値の例)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment
1150	ibt-015	Shared	0..1		0..1	1	Receiving advice reference	受取通知書(検収書)参照	Document Reference	An identifier of a referenced receiving advice.	参照する受取通知書に買い手が付番した番号。				1290	cbc:ID	udt:IdentifierType	/Invoice/cac:ReceiptDocumentReference/cbc:ID			1..1	CAR-3
															1300	cac:OriginatorDocumentReference	cac:DocumentReferenceType	/Invoice/cac:OriginatorDocumentReference			0..n	CAR-3
1170	ibt-017	Shared	0..1		0..1	1	Tender or lot reference	入札又はロット参照	Document Reference	The identification of the call for tender or lot the invoice relates to.	参照する入札またはロットの番号。				1310	cbc:ID	udt:IdentifierType	/Invoice/cac:OriginatorDocumentReference/cbc:ID			1..1	CAR-3
															1320	cac:ContractDocumentReference	cac:DocumentReferenceType	/Invoice/cac:ContractDocumentReference			0..n	CAR-3
1120	ibt-012	Shared	0..1		0..1	1	Contract reference	契約書参照	Document Reference	The identification of a contract.	参照する契約書に記載された文書番号。				1330	cbc:ID	udt:IdentifierType	/Invoice/cac:ContractDocumentReference/cbc:ID			1..1	CAR-3
															1340	cac:AdditionalDocumentReference	cac:DocumentReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']	cbc:DocumentTypeCode = 130		0..n	CAR-3
1180	ibt-018	Shared	0..1		0..1	1	Invoiced object identifier	請求するオブジェクトID	Identifier	"An identifier for an object on which the invoice is based	 given by the Seller."	請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。				1350	cbc:ID	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID			1..1	CAR-3
1190	ibt-018-1	Shared	0..1		0..1	1	The identification scheme identifier of the Invoiced object identifier.	請求するオブジェクトIDのスキーマID	ー	"If it may be not clear for the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries."	受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。				1360	@schemeID	xsd:normalizedString	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID		UNCL1153	0..1	
2880	ibg-24	Shared	0..n		0..n	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類		A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.	請求書内で行われたクレームを実証する添付書類についての情報を提供するビジネス用語のグループ。		添付文書は、売り手が知っていると予想される文書番号を参照するために、外部文書(URLによって参照される)として、または埋め込み文書(PDF形式の時間レポートなど)として使用することができる。セキュリティの観点から、外部文書(URLによって参照される)は、用いない方が望ましい。		1380	cac:AdditionalDocumentReference	cac:DocumentReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']	cbc:DocumentTypeCode != 130		0..n	
2890	ibt-122	Shared	1..1		1..1	2	Supporting document reference	添付書類への参照	Document Reference	An identifier of the supporting document.	添付書類のID。				1390	cbc:ID	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cbc:ID			1..1	
2900	ibt-123	Shared	0..1		0..1	2	Supporting document description	添付書類の説明	Text	A description of the supporting document.	添付書類の説明。				1400	cbc:DocumentDescription	udt:TextType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cbc:DocumentDescription			0..n	CAR-3
															1410	cac:Attachment	cac:AttachmentType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='129']/cac:Attachment			0..1	
2920	ibt-125	Shared	0..1		0..1	2	Attached document	添付書類	Binary object	An attached document embedded as binary object or sent together with the invoice.	バイナリオブジェクトとして埋め込まれた、または請求書と一緒に送られた添付書類。				1420	cbc:EmbeddedDocumentBinaryObject	udt:BinaryObjectType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject			0..1	
2930	ibt-125-1	Aligned	1..1		1..1	3	Attached document Mime code	添付書類MIMEコード	ー	Allowed mime codes:\napplication/pdf\nimage/png\nimage/jpeg\ntext/csv\napplication/vnd.openxmlformats-officedocument.spreadsheetml.sheet\napplication/vnd.oasis.opendocument. spreadsheet	許可されているMIMEコード:\napplication/pdf\nimage/png\nimage/jpeg\ntext/csv\napplication/vnd.openxmlformats-officedocument.spreadsheetml.sheet\napplication/vnd.oasis.opendocument. Spreadsheet				1430	@mimeCode	xsd:normalizedString	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode		MimeCode	1..1	
2940	ibt-125-2	Shared	1..1		1..1	3	Attached document Filename	添付書類ファイル名	ー	ー	ー				1440	@filename	xsd:string	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename			0..1	CAR-2
															1450	cac:ExternalReference	cac:ExternalReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cac:ExternalReference			0..1	
2945	ibt-124	Shared	0..1		0..1	2	External document location	外部ドキュメントのロケーション	Text	The URL (Uniform Resource Locator) that identifies where the external document is located.	外部ドキュメントの所在を示すURL（ユニフォームリソースロケータ）		例えば、http://または ftp://.と買い手が請求書を補足するために追加情報を必要とする場合は、外部文書保管場所を使用するものとする。外部文書は請求書の一部ではない。外部文書へのアクセスにはリスクが伴う。外部文書にアクセスできなくても請求書を処理できなければならない。		1460	cbc:URI	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cac:ExternalReference/cbc:URI			0..1	
															1470	cac:ProjectReference	cac:ProjectReferenceType	/Invoice/cac:ProjectReference			0..n	CAR-3
1110	ibt-011	Shared	0..1		0..1	1	Project reference	プロジェクト参照	Document Reference	The identification of the project the invoice refers to	発注品に関するプロジェクト・工事案件等を管理するための番号。		インボイスが参照するプロジェクトのID。		1480	cbc:ID	udt:IdentifierType	/Invoice/cac:ProjectReference/cbc:ID			1..1	CAR-3
1330	ibg-04	Shared	1..1		1..1	1	SELLER	売り手		A group of business terms providing information about the Seller.	売り手に係る情報を提供するビジネス用語のグループ。				1490	cac:AccountingSupplierParty	cac:SupplierPartyType	/Invoice/cac:AccountingSupplierParty			1..1	
															1500	cac:Party	cac:PartyType	/Invoice/cac:AccountingSupplierParty/cac:Party			0..1	CAR-2
1430	ibt-034	Shared	1..1		1..1	2	Seller electronic address	売り手電子アドレス	Identifier	Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.	請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。	"In case of Japan	 it is supposed that ibt-029	 ibt-030	 ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC	 TDB	 TSR)	 ibt-030 is used to set  identifier issued by government/tax authority	 ibt-031 is used to set Japan consumption tax registration number	 and ibt-034 is used to set user ID of Peppol eDelivery Network."	インボイス応答はインボイスおよびクレジットノート固有の応答メッセージであり、購入者の業務ルールおよび/または販売者/購入者契約に基づいて、購入者の承認および支払いプロセスにおけるインボイスの処理状況を売り手に通知するために使用できる。(参照 https://docs.peppol.eu/poacc/upgrade-3/profiles/63-invoiceresponse/)	8700110005901	1510	cbc:EndpointID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID			0..1	CAR-2
1440	ibt-034-1	Shared	1..1		1..1	3	Scheme identifier	スキーマID	ー	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。	"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code	 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. "	"0147 Standard Company Code (JIPDECが発番/管理しているコード)	 0170 Teikoku Company Code (帝国データバンクの企業コード)	 0188 Corporate Number of The Social Security and Tax Number System (社会保障・税制度の法人番号) をEASリストに追加してもらうよう、変更リクエストをOpenPEPPOLに提出済。"	0188	1520	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID		eas	0..1	CAR-2
															1530	cac:PartyIdentification	cac:PartyIdentificationType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification			0..n	CAR-3
1445	ibt-090	Aligned	0..1		0..1	3	Bank assigned creditor identifier	銀行が裁判した債権者の識別子	Identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	売り手や支払先の取引銀行が一意に割り当てた売り手や支払先の銀行参照識別子。		SEPA口座振替を買い手に事前に通知するために使用。		1540	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1	CAR-3
															1550	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID			0..1	
															1560	cac:PartyName	cac:PartyNameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName			0..n	CAR-3
1350	ibt-028	Shared	0..1		0..1	2	Seller trading name	売り手商号	Text	"A name by which the Seller is known	 other than Seller name (also known as Business name)."	売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。			株式会社○○商事	1570	cbc:Name	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name			1..1	CAR-3
1450	ibg-05	Shared	1..1		1..1	2	SELLER POSTAL ADDRESS	売り手住所		A group of business terms providing information about the address of the Seller.	売り手の住所に関する情報を提供するビジネス用語のグループ。				1580	cac:PostalAddress	cac:AddressType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress			0..1	CAR-2
1460	ibt-035	Shared	0..1		0..1	3	Seller address line 1	売り手住所欄1	Text	The main address line in an address.	売り手の住所の主な記載欄。			四谷4-29-X	1590	cbc:StreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1	
1470	ibt-036	Shared	0..1		0..1	3	Seller address line 2	売り手住所欄2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。			〇〇商事ビル	1600	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1	
1490	ibt-037	Shared	0..1		0..1	3	Seller city	売り手住所 市区町村	Text	"The common name of the city	 town or village	 where the Seller address is located."	売り手が所在する市、町、村の通称。			新宿区	1610	cbc:CityName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1	
1500	ibt-038	Shared	0..1		0..1	3	Seller post code	売り手郵便番号	Text	The identifier for an addressable group of properties according to the relevant postal service.	売り手の住所の郵便番号。			160-0004	1620	cbc:PostalZone	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1	
1510	ibt-039	Shared	0..1		0..1	3	Seller country subdivision	売り手住所 都道府県	Text	The subdivision of a country.	売り手の住所の地方区分。		日本の場合は、都道府県。	東京都	1630	cbc:CountrySubentity	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1	
															1640	cac:AddressLine	cac:AddressLineType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine			0..n	CAR-3
1480	ibt-162	Shared	0..1		0..1	3	Seller address line 3	売り手住所欄3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。				1650	cbc:Line	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3
															1660	cac:Country	cac:CountryType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country			0..1	CAR-2
1520	ibt-040	Shared	1..1		1..1	3	Seller country code	売り手国コード	Code	A code that identifies the country.	売り手の住所の国コード。		ISO 3166で規定されたアルファベット2文字のコード。	JP	1670	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
															1680	cac:PartyTaxScheme	cac:PartyTaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID='VAT']	"cac:TaxScheme = ""VAT"""		0..n	
1400	ibt-031	Aligned	0..1		0..1	2	Seller TAX identifier	売り手税ID	Identifier	The Seller’s TAX identifier (also known as Seller TAX identification number).	売り手の税ID(売り手の税識別番号ともよばれる）。	"In case of Japan	 it is supposed that ibt-029	 ibt-030	 ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC	 TDB	 TSR)	 ibt-030 is used to set  identifier issued by government/tax authority	 ibt-031 is used to set Japan consumption tax registration number	 and ibt-034 is used to set user ID of Peppol eDelivery Network."	日本の場合は、適格請求書発行事業者登録番号 T+法人番号（国税庁）。	T8700110005901	1690	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID='VAT']/cbc:CompanyID			0..1	
															1700	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme			1..1	
															1710	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			0..1	
															1720	cac:PartyTaxScheme	cac:PartyTaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID!='VAT]	"cac:TaxScheme != ""VAT"""		0..n	CAR-3
1410	ibt-032	Aligned	0..1		0..1	2	Seller TAX registration identifier	売り手税登録ID	Identifier	The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。	"In case of Japan	 it is supposed that ibt-029	 ibt-030	 ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC	 TDB	 TSR)	 ibt-030 is used to set  identifier issued by government/tax authority	 ibt-031 is used to set Japan consumption tax registration number	 and ibt-034 is used to set user ID of Peppol eDelivery Network."			1730	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID!='VAT]/cbc:CompanyID			0..1	CAR-3
															1740	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID!='VAT]/cac:TaxScheme			1..1	
															1750	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID!='VAT]/cac:TaxScheme/cbc:ID			0..1	
															1760	cac:PartyLegalEntity	cac:PartyLegalEntityType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity			0..n	CAR-2 CAR-3
1340	ibt-027	Shared	1..1		1..1	2	Seller name	売り手名称	Text	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。			株式会社○○商事	1770	cbc:RegistrationName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			0..1	CAR-2 CAR-3
1380	ibt-030	Shared	0..1		0..1	2	Seller legal registration identifier	売り手法人ID	Identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	公的機関が発行した売り手を法人や個人として識別するID。			8700110005901 	1780	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1	
1390	ibt-030-1	Shared	0..1		0..1	3	Scheme identifier	スキーマID	ー	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO/IEC 6523 保守機関が公開しているリストから選択しなければならない。	"For example	 0188 Corporate Number of The Social Security and Tax Number System"	ISO/IEC 6523 保守機関として登録されている番号。国税庁は188。	188	1790	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1420	ibt-033	Shared	0..1		0..1	2	Seller additional legal information	売り手追加法的情報	Text	Additional legal information relevant for the Seller.	売り手に関する追加の法的情報。				1800	cbc:CompanyLegalForm	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm			0..1	
1530	ibg-06	Shared	0..1		0..1	2	SELLER CONTACT	売り手連絡先		A group of business terms providing contact information about the Seller.	売り手の連絡先に係る情報を提供するビジネス用語のグループ。				1810	cac:Contact	cac:ContactType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact			0..1	
