SemSort,ID,Section,PINTCard,Aligned,AlignedCard,Level,BT,BT_ja,DT,Desc,Desc_ja,Explanation,Explanation2,Example,SyntSort,element,UBLdatatype,XPath,selectors,Code list,SyntaxCard,UBLOccurrence,CAR,AlignedRule,SharedRule,CodelistRule,PooledRule
1100,ibt-010,Shared,0..1,,0..1,1,Buyer reference,買い手参照,Text,An identifier assigned by the Buyer used for internal routing purposes.,買い手参照,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,,abc-123,1130,cbc:BuyerReference,udt:TextType,/ubl:Invoice/cbc:BuyerReference,,,0..1,0..1,,,,,
1110,ibt-011,Shared,0..1,,0..1,1,Project reference,プロジェクト参照,Document Reference,The identification of the project the invoice refers to,プロジェクト参照,発注品に関するプロジェクト・工事案件等を管理するための番号。,インボイスが参照するプロジェクトのID。,,1440,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:ProjectReference/cbc:ID,,,1..1,1..1,CAR-3,,[ibr-9]-Only one project reference (ibt-11) is allowed on document level.,,
1120,ibt-012,Shared,0..1,,0..1,1,Contract reference,契約書参照,Document Reference,The identification of a contract.,契約書参照,参照する契約書に記載された文書番号。,,,1320,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:ContractDocumentReference/cbc:ID,,,1..1,1..1,CAR-3,,[ibr-94]-Contract reference (ibt-12) MUST occur maximum once.,,
1130,ibt-013,Shared,0..1,,0..1,1,Purchase order reference,購買発注参照,Document Reference,"An identifier of a referenced purchase order, issued by the Buyer.",購買発注参照,買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,,AA-123-BB,1190,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:OrderReference/cbc:ID,,,1..1,1..1,,,,,
1140,ibt-014,Shared,0..1,,0..1,1,Sales order reference,受注参照,Document Reference,An identifier of a referenced sales order issued by the Seller.,受注参照,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,,,1200,cbc:SalesOrderID,udt:IdentifierType,/ubl:Invoice/cac:OrderReference/cbc:SalesOrderID,,,0..1,0..1,,,,,
1150,ibt-015,Shared,0..1,,0..1,1,Receiving advice reference,受取通知書(検収書)参照,Document Reference,An identifier of a referenced receiving advice.,受取通知書(検収書)参照,参照する受取通知書に買い手が付番した番号。,,,1280,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:ReceiptDocumentReference/cbc:ID,,,1..1,1..1,CAR-3,,[ibr-95]-Receiving advice reference (ibt-15) MUST occur maximum once.,,
1160,ibt-016,Shared,0..1,,0..1,1,Despatch advice reference,出荷案内書(納品書)参照,Document Reference,An identifier of a referenced despatch advice.,出荷案内書(納品書)参照,参照する出荷案内書に売り手が付番した番号。,,,1260,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:DespatchDocumentReference/cbc:ID,,,1..1,1..1,CAR-3,,"[ibr-92]-If despatch advice reference exists on line (ibt-184) then there MUST not be despatch reference on document level (ibt-16).
[ibr-96]-Despatch advice reference (ibt-16) MUST occur maximum once.",,
1170,ibt-017,Shared,0..1,,0..1,1,Tender or lot reference,入札又はロット参照,Document Reference,The identification of the call for tender or lot the invoice relates to.,入札又はロット参照,参照する入札またはロットの番号。,,,1300,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:OriginatorDocumentReference/cbc:ID,,,1..1,1..1,CAR-3,,,,
1180,ibt-018,Shared,0..1,,0..1,1,Invoiced object identifier,請求するオブジェクトID,Identifier,"An identifier for an object on which the invoice is based, given by the Seller.",請求するオブジェクトID,請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,,,1340,cbc:ID,udt:IdentifierType,"/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode = ""130""]/cbc:ID",,,1..1,1..1,CAR-3,,"[ibr-71]-An invoice should not include an AdditonalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Attachment (ibt-125).
[ibr-72]-An invoice MUST not include an AdditionalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Document Description (ibt-123).
[ibr-78]-Only one invoiced object (ibt-18) is allowed on document level.",[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153.,
1190,ibt-018-1,Shared,0..1,,0..1,2,The identification scheme identifier of the Invoiced object identifier.,,Code,"If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.",,,,,1345,@schemeID,xsd:normalizedString,"/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode = ""130""]/cbc:ID/@schemeID",,,0..1,0..1,,,,,
1200,ibt-019,Shared,0..1,,0..1,1,Buyer accounting reference,買い手会計参照,Text,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,買い手会計参照,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,,,1120,cbc:AccountingCost,udt:TextType,/ubl:Invoice/cbc:AccountingCost,,,0..1,0..1,,,,,
1210,ibg-33,Aligned,0..n,,0..n,1,INVOICE TERMS,支払条件,,Information about the terms that apply to the settlement of the invoice amount.,支払条件,請求金額の決済に適用される条件に関する情報。,,,2760,cac:PaymentTerms,cac:PaymentTermsType,/ubl:Invoice/cac:PaymentTerms,,,0..n,0..n,,,,,
1220,ibt-187,Aligned,0..1,,0..1,2,Terms payment instructions ID,支払条件指示ID,Identifier,The payment instructions that apply to these payment terms.,支払条件指示ID,これらの支払条件を適用する支払指示。,,,2770,cbc:PaymentMeansID,udt:IdentifierType,/ubl:Invoice/cac:PaymentTerms/cbc:PaymentMeansID,,,0..1,0..n,CAR-3,,,,
1230,ibt-020,Shared,0..1,,0..1,2,Payment terms,支払条件,Text,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,支払条件,支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。,"英語での慣用例文 PIA, Net 30,EOM,21 MFI,1% 10 Net 30,COD,1MD,etc. 
振込手数料を売り手買い手のどちらが負担するかといった情報をテキスト情報として入れ込むことは可能。",,2780,cbc:Note,udt:TextType,/ubl:Invoice/cac:PaymentTerms/cbc:Note,,,0..1,0..n,CAR-3,[aligned-ibrp-8]-Payment terms (ibt-2) MUST occur maximum once.,,,[aligned-ibrp-8]-Payment terms (ibt-2) MUST occur maximum once.
1240,ibt-176,Aligned,0..1,,0..1,2,Terms amount,支払条件金額,Amount,"The payment amount that these terms apply to. When relevant, the amount includes tax.",支払条件金額,これらの条件が適用される支払金額。,,,2790,cbc:Amount,udt:AmountType,/ubl:Invoice/cac:PaymentTerms/cbc:Amount,,,0..1,0..1,,,,,
1250,ibt-177,Aligned,0..1,,0..1,2,Terms installment due date,分割支払支払期日,Date,The date before end of which the terms amount shall be settled.,分割支払支払期日,分割支払の場合の各支払期日。,日付表示は西暦表示で、YYYY-MM-DD となる。,,2800,cbc:InstallmentDueDate,udt:DateType,/ubl:Invoice/cac:PaymentTerms/cbc:InstallmentDueDate,,,0..1,0..1,,,,,
1260,ibt-022,Shared,0..1,,0..1,1,Invoice note,請求書注釈内容,Text,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,請求書注釈内容,注釈の内容を入力するフリースペース。,,,1080,cbc:Note,udt:TextType,/ubl:Invoice/cbc:Note,,,0..1,0..n,CAR-3,,,,
1270,ibg-02,Shared,1..1,,1..1,1,PROCESS CONTROL,プロセスコントロール,,A group of business terms providing information on the business process and rules applicable to the Invoice document.,請求書に適用するビジネスプロセス及びルールについての情報を提供するビジネス用語のグループ。,,,,4550,,,,,,,,,,,,
1280,ibt-023,Shared,1..1,,1..1,2,Business process type,ビジネスプロセスタイプ,Text,"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.",ビジネスプロセスタイプ,取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,, urn:peppol:bis:billing,1020,cbc:ProfileID,udt:IdentifierType,/ubl:Invoice/cbc:ProfileID,,,1..1,0..1,CAR-2,,[ibr-76]-Business process (ibt-23) MUST be provided.,,
1290,ibt-024,Shared,1..1,,1..1,2,Specification identifier,仕様ID,Identifier,"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",仕様ID,取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,"JP PINT 0.9.1では、誤って
[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0'.
となっている。Nobu",urn:fdc:peppol:jp:billing:3.0,1010,cbc:CustomizationID,udt:IdentifierType,/ubl:Invoice/cbc:CustomizationID,,,1..1,0..1,CAR-2,,[ibr-1]-An Invoice MUST have a Specification identifier (ibt-24).,,
1300,ibg-03,Shared,0..n,,0..n,1,PRECEDING INVOICE REFERENCE,先行請求書への参照,,A group of business terms providing information on one or more preceding Invoices.,先行請求書への参照,1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。,,,1210,cac:BillingReference,cac:BillingReferenceType,/ubl:Invoice/cac:BillingReference,,,0..n,0..n,,,[ibr-55]-Each Preceding Invoice reference (ibg-3) MUST contain a Preceding Invoice reference (ibt-25).,,
1310,ibt-025,Shared,1..1,,1..1,2,Preceding Invoice reference,先行請求書への参照,Document Reference,The identification of an Invoice that was previously sent by the Seller.,先行請求書への参照,売り手が以前に送付した請求書番号。,,,1230,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,,,1..1,1..1,CAR-2,,[ibr-55]-Each Preceding Invoice reference (ibg-3) MUST contain a Preceding Invoice reference (ibt-25).,,
1320,ibt-026,Shared,0..1,,0..1,2,Preceding Invoice issue date,先行請求書発行日,Date,The date when the Preceding Invoice was issued.,先行請求書発行日,先行請求書の発行日。,日付表示は西暦表示で、YYYY-MM-DD となる。,,1240,cbc:IssueDate,udt:DateType,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,,,0..1,0..1,,,,,
1320,ibt-060-1,Shared,0..1,,0..1,3,Scheme identifier,スキーマID,Code,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",,,,,2105,@schemeID,xsd:normalizedString,/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID,,,0..1,0..1,,,,,
1330,ibg-04,Shared,1..1,,1..1,1,SELLER,売り手,,A group of business terms providing information about the Seller.,売り手,売り手に係る情報を提供するビジネス用語のグループ。,,,1450,cac:AccountingSupplierParty,cac:SupplierPartyType,/ubl:Invoice/cac:AccountingSupplierParty,,,1..1,1..1,,,"[ibr-17]-The Payee name (ibt-59) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4).
[ibr-18]-The Seller tax representative name (ibt-62) MUST be provided in the Invoice, if the Seller (ibg-4) has a Seller tax representative party (ibg-11)
[ibr-19]-The Seller tax representative postal address (ibg-12) MUST be provided in the Invoice, if the Seller (ibg-4) has a Seller tax representative party (ibg-11).
[ibr-2]-The Seller tax representative postal address (ibg-12) MUST contain a Tax representative country code (ibt-69), if the Seller (ibg-4) has a Seller tax representative party (ibg-11).
[ibr-15]-The Payee identifier (ibt-6) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4).
[ibr-16]-The Payee legal identifier (ibt-61) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4).",,
1340,ibt-027,Shared,1..1,,1..1,2,Seller name,売り手名称,Text,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,売り手名称,売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。,,株式会社○○商事,1730,cbc:RegistrationName,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,,,1..1,0..1,CAR-2 CAR-3,,"[ibr-6]-An Invoice MUST contain the Seller name (ibt-27).
[ibr-98]-Seller name (ibt-27) MUST occur maximum once.",,
1350,ibt-028,Shared,0..1,,0..1,2,Seller trading name,売り手商号,Text,"A name by which the Seller is known, other than Seller name (also known as Business name).",売り手商号,売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,,株式会社○○商事,1530,cbc:Name,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,,,1..1,1..1,CAR-3,,[ibr-99]-Seller trader name (ibt-28) MUST occur maximum once.,,
1360,ibt-029,Shared,0..n,,0..n,2,Seller identifier,売り手ID,Identifier,An identification of the Seller.,,,,,1490,cbc:ID,udt:IdentifierType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,,1..1,,,,,,
1370,ibt-029-1,Shared,0..1,,0..1,3,Scheme identifier,スキーマID,Code,"If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",,,,,1495,@schemeID,xsd:normalizedString,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,,0..1,0..1,,,,,
1380,ibt-030,Shared,0..1,,0..1,2,Seller legal registration identifier,売り手法人ID,Identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,売り手法人ID,公的機関が発行した売り手を法人や個人として識別するID。,,8700110005901 ,1740,cbc:CompanyID,udt:IdentifierType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,,,0..1,0..1,,,"[ibr-1]-Seller legal registration identifier (ibt-3) MUST occur maximum once.
[ibr-co-26]-In order for the buyer to automatically identify a supplier, the Seller identifier (ibt-29), the Seller legal registration identifier (ibt-3) and/or the Seller Tax identifier (ibt-31) MUST be present.",,
1390,ibt-030-1,Shared,0..1,,0..1,3,Scheme identifier,スキーマID,Code,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",,,,,1745,@schemeID,xsd:normalizedString,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,0..1,0..1,,,,,
1400,ibt-031,Aligned,0..1,,0..1,2,Seller TAX identifier,売り手税ID,Identifier,The Seller's TAX identifier (also known as Seller TAX identification number).,売り手税ID,売り手の税ID(売り手の税識別番号ともよばれる）。,日本の場合は、適格請求書発行事業者登録番号 T+法人番号（国税庁）。,T8700110005901,1650,cbc:CompanyID,udt:IdentifierType,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = ""VAT""]/cbc:CompanyID",,,1..1,0..1,,"[aligned-ibr-jp-4]-An Invoice shall have the Seller tax identifier (ibt-31).
[aligned-ibrp-9]-Seller tax identifier (ibt-31) MUST occur maximum once.
[aligned-ibrp-sr-12]-Seller VAT identifier (ibt-31) MUST occur maximum once","[ibr-co-26]-In order for the buyer to automatically identify a supplier, the Seller identifier (ibt-29), the Seller legal registration identifier (ibt-3) and/or the Seller Tax identifier (ibt-31) MUST be present.",,"[aligned-ibrp-9]-Seller tax identifier (ibt-31) MUST occur maximum once.
[aligned-ibrp-sr-12]-Seller VAT identifier (ibt-31) MUST occur maximum once"
1410,ibt-032,Aligned,0..1,,0..1,2,Seller TAX registration identifier,売り手税登録ID,Identifier,The local identification (defined by the Seller‚Äôs address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,売り手税登録ID,税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。,,,1690,cbc:CompanyID,udt:IdentifierType,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID != ""VAT""]/cbc:CompanyID",,,1..1,0..1,CAR-3,[aligned-ibrp-sr-13]-Seller tax registration (ibt-32) MUST occur maximum once,,,[aligned-ibrp-sr-13]-Seller tax registration(ibt-32) MUST occur maximum once
1420,ibt-033,Shared,0..1,,0..1,2,Seller additional legal information,売り手追加法的情報,Text,Additional legal information relevant for the Seller.,売り手追加法的情報,売り手に関する追加の法的情報。,,,1750,cbc:CompanyLegalForm,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,,,0..1,0..1,,,[ibr-11]-Seller additional legal information (ibt-33) MUST occur maximum once.,,
1430,ibt-034,Shared,1..1,,1..1,2,Seller electronic address,売り手電子アドレス,Identifier,Identifies the Seller's electronic address to which the application level response to the invoice may be delivered.,売り手電子アドレス,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,インボイス応答はインボイスおよびクレジットノート固有の応答メッセージであり、購入者の業務ルールおよび/または販売者/購入者契約に基づいて、購入者の承認および支払いプロセスにおけるインボイスの処理状況を売り手に通知するために使用できる。(参照 https://docs.peppol.eu/poacc/upgrade-3/profiles/63-invoiceresponse/),8700110005901 ,1470,cbc:EndpointID,udt:IdentifierType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,,,1..1,0..1,CAR-2,,[ibr-081]-The Seller electronic address (ibt-034) MUST be provided.,,
1440,ibt-034-1,Shared,1..1,,1..1,3,Scheme identifier,スキーマID,Code,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,,,,,1475,@schemeID,xsd:normalizedString,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,,,1..1,0..1,,,,,
1450,ibg-05,Shared,1..1,,1..1,2,SELLER POSTAL ADDRESS,売り手住所,,A group of business terms providing information about the address of the Seller.,売り手住所,売り手の住所に関する情報を提供するビジネス用語のグループ。,,,1540,cac:PostalAddress,cac:AddressType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,,,1..1,0..1,CAR-2,,"[ibr-8]-An Invoice MUST contain the Seller postal address (ibg-5).
[ibr-9]-The Seller postal address (ibg-5) MUST contain a Seller country code (ibt-4).",,
1460,ibt-035,Shared,0..1,,0..1,3,Seller address line 1,売り手住所欄1,Text,The main address line in an address.,売り手住所欄1,売り手の住所の主な記載欄。,,四谷4-29-X,1550,cbc:StreetName,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName,,,0..1,0..1,,,,,
1470,ibt-036,Shared,0..1,,0..1,3,Seller address line 2,売り手住所欄2,Text,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄2,売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,,〇〇商事ビル,1560,cbc:AdditionalStreetName,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,,,0..1,0..1,,,,,
1480,ibt-162,Shared,0..1,,0..1,3,Seller address line 3,売り手住所欄3,Text,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄3,売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,,,1610,cbc:Line,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,1..1,1..1,CAR-3,,[ibr-sr-53]-The Seller Postal Address Line (ibt-162) MUST occur maximum once.,,
1490,ibt-037,Shared,0..1,,0..1,3,Seller city,売り手住所 市区町村,Text,"The common name of the city, town or village, where the Seller address is located.",売り手住所 市区町村,売り手が所在する市、町、村の通称。,,新宿区,1570,cbc:CityName,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,,,0..1,0..1,,,,,
1500,ibt-038,Shared,0..1,,0..1,3,Seller post code,売り手郵便番号,Text,The identifier for an addressable group of properties according to the relevant postal service.,売り手郵便番号,売り手の住所の郵便番号。,,160-0004,1580,cbc:PostalZone,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,,,0..1,0..1,,,,,
1510,ibt-039,Shared,0..1,,0..1,3,Seller country subdivision,売り手住所 都道府県,Text,"The subdivision of a country. Such as a region, a county, a state, a province etc..",売り手住所 都道府県,売り手の住所の地方区分。,日本の場合は、都道府県。,東京都,1590,cbc:CountrySubentity,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,,,0..1,0..1,,,,,
1520,ibt-040,Shared,1..1,,1..1,3,Seller country code,売り手国コード,Code,A code that identifies the country.,売り手国コード,売り手の住所の国コード。,ISO 3166で規定されたアルファベット2文字のコード。,JP,1630,cbc:IdentificationCode,udt:CodeType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,ISO3166,1..1,0..1,CAR-2,,[ibr-9]-The Seller postal address (ibg-5) MUST contain a Seller country code (ibt-4).,[ibr-cl-14]-Country codes in an invoice MUST be coded using ISO code list 3166-1,
1530,ibg-06,Shared,0..1,,0..1,2,SELLER CONTACT,売り手連絡先,,A group of business terms providing contact information about the Seller.,売り手連絡先,売り手の連絡先に係る情報を提供するビジネス用語のグループ。,,,1760,cac:Contact,cac:ContactType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,,,0..1,0..1,,,,,
1540,ibt-041,Shared,0..1,,0..1,3,Seller contact point,売り手連絡先,Text,A contact point for a legal entity or person.,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,,法人営業2課,1770,cbc:Name,udt:NameType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,,,0..1,0..1,,,,,
1550,ibt-042,Shared,0..1,,0..1,3,Seller contact telephone number,売り手連絡先電話番号,Text,A phone number for the contact point.,売り手連絡先電話番号,売り手の連絡先電話番号。,,03-3xxx-1234,1780,cbc:Telephone,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,,,0..1,0..1,,,,,
1560,ibt-043,Shared,0..1,,0..1,3,Seller contact email address,売り手連絡先電子メールアドレス,Text,An e-mail address for the contact point.,売り手連絡先電子メールアドレス,売り手の連絡先電子メールアドレス。,,houjineigyou2@〇〇co.jp,1790,cbc:ElectronicMail,udt:TextType,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,,,0..1,0..1,,,,,
