SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BTja	DT	Desc	Descja			Example Value ()	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment
1240	ibt-176	Aligned	0..1		0..1	2	Terms amount		Amount	The payment amount that these terms apply to.					2930	cbc:Amount	udt:AmountType	/Invoice/cac:PaymentTerms/cbc:Amount			0..1	
1250	ibt-177	Aligned	0..1		0..1	2	Terms installment due date		Date	The date before end of which the terms amount shall be settled.		The date is described in the Christian era and is YYYY-MM-DD. 	YYYY-MM-DD 		2940	cbc:InstallmentDueDate	udt:DateType	/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate			0..1	
1260	ibt-022	Shared	0..1		0..1	1	Invoice note		Text	A textual note that gives unstructured information that is relevant to the Invoice as a whole.					1090	cbc:Note	udt:TextType	/Invoice/cbc:Note			0..n	CAR-3
1270	ibg-02	Shared	1..1		1..1	1	PROCESS CONTROL			A group of business terms providing information on the business process and rules applicable to the Invoice document.					4550							
1280	ibt-023	Shared	1..1		1..1	2	Business process type		Text	"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way."		"OpenPEPPOL/PINT-JPissue#9
The Japan invoice PINT/DDTS compliant identifiers are as follows:
Profile ID/Business Process type: urn:peppol:bis:billing
When using the PINT in Busdox the identifiers are as follows:
Profile ID/Business Process type: urn:peppol:bis:billing"		 urn:peppol:bis:billing	1030	cbc:ProfileID	udt:IdentifierType	/Invoice/cbc:ProfileID			0..1	CAR-2
1290	ibt-024	Shared	1..1		1..1	2	Specification identifier	ID	Identifier	"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms."	ID	"OpenPEPPOL/PINT-JPissue#9
The Japan invoice PINT/DDTS compliant identifiers are as follows:
Customization/Specification ID: urn:peppol:pint:billing-3.0@jp:peppol-1
When using the PINT in Busdox the identifiers are as follows:
Customization/Specification ID: urn:fdc:peppolbilling:3.0"	"JP PINT 0.9.1
[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0'.
Nobu"	urn:fdc:peppol:jp:billing:3.0	1020	cbc:CustomizationID	udt:IdentifierType	/Invoice/cbc:CustomizationID			0..1	CAR-2
1300	ibg-03	Shared	0..n		0..n	1	PRECEDING INVOICE REFERENCE			A group of business terms providing information on one or more preceding Invoices.	1				1220	cac:BillingReference	cac:BillingReferenceType	/Invoice/cac:BillingReference			0..n	
1310	ibt-025	Shared	1..1		1..1	2	Preceding Invoice reference		Document Reference	The identification of an Invoice that was previously sent by the Seller.					1240	cbc:ID	udt:IdentifierType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID			1..1	
1320	ibt-026	Shared	0..1		0..1	2	Preceding Invoice issue date		Date	The date when the Preceding Invoice was issued.		The date is described in the Christian era and is YYYY-MM-DD. 	YYYY-MM-DD 		1250	cbc:IssueDate	udt:DateType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate			0..1	
1330	ibg-04	Shared	1..1		1..1	1	SELLER			A group of business terms providing information about the Seller.					1490	cac:AccountingSupplierParty	cac:SupplierPartyType	/Invoice/cac:AccountingSupplierParty			1..1	
1340	ibt-027	Shared	1..1		1..1	2	Seller name		Text	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	1				1770	cbc:RegistrationName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			0..1	CAR-2 CAR-3
1350	ibt-028	Shared	0..1		0..1	2	Seller trading name		Text	"A name by which the Seller is known, other than Seller name (also known as Business name)."					1570	cbc:Name	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name			1..1	CAR-3
1380	ibt-030	Shared	0..1		0..1	2	Seller legal registration identifier	ID	Identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	ID			8.70011E+12	1780	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1	
1390	ibt-030-1	Shared	0..1		0..1	3	Scheme identifier	ID		"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	ISO/IEC 6523 	"For example, 0188 Corporate Number of The Social Security and Tax Number System"	ISO/IEC 6523 188	188	1790	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1400	ibt-031	Aligned	0..1		0..1	2	Seller TAX identifier	ID	Identifier	The Seller's TAX identifier (also known as Seller TAX identification number).	ID(	"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network."	 T+	T8700110005901	1690	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cbc:CompanyID			0..1	
1410	ibt-032	Aligned	0..1		0..1	2	Seller TAX registration identifier	ID	Identifier	The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	IDID	"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network."			1730	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID			0..1	CAR-3
1420	ibt-033	Shared	0..1		0..1	2	Seller additional legal information		Text	Additional legal information relevant for the Seller.					1800	cbc:CompanyLegalForm	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm			0..1	
1430	ibt-034	Shared	1..1		1..1	2	Seller electronic address		Identifier	Identifies the Seller's electronic address to which the application level response to the invoice may be delivered.		"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network."	//( https://docs.peppol.eu/poacc/upgrade-3/profiles/63-invoiceresponse/)	8.70011E+12	1510	cbc:EndpointID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID			0..1	CAR-2
1440	ibt-034-1	Shared	1..1		1..1	3	Scheme identifier	ID		The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	IDConnecting Europe Facility (CEF) 	"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code, 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. "	"0147 Standard Company Code (JIPDEC/), 0170 Teikoku Company Code (), 0188 Corporate Number of The Social Security and Tax Number System () EASOpenPEPPOL"	188	1520	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID		eas	0..1	CAR-2
1445	ibt-090	Aligned	0..1		0..1	3	Bank assigned creditor identifier		Identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.			SEPA		1540	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1	CAR-3
1450	ibg-05	Shared	1..1		1..1	2	SELLER POSTAL ADDRESS			A group of business terms providing information about the address of the Seller.					1580	cac:PostalAddress	cac:AddressType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress			0..1	CAR-2
1460	ibt-035	Shared	0..1		0..1	3	Seller address line 1	1	Text	The main address line in an address.				4-29-X	1590	cbc:StreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1	
1470	ibt-036	Shared	0..1		0..1	3	Seller address line 2	2	Text	An additional address line in an address that can be used to give further details supplementing the main line.					1600	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1	
1480	ibt-162	Shared	0..1		0..1	3	Seller address line 3	3	Text	An additional address line in an address that can be used to give further details supplementing the main line.					1650	cbc:Line	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3
1490	ibt-037	Shared	0..1		0..1	3	Seller city	 	Text	"The common name of the city, town or village, where the Seller address is located."					1610	cbc:CityName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1	
1500	ibt-038	Shared	0..1		0..1	3	Seller post code		Text	The identifier for an addressable group of properties according to the relevant postal service.				160-0004	1620	cbc:PostalZone	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1	
1510	ibt-039	Shared	0..1		0..1	3	Seller country subdivision	 	Text	The subdivision of a country.					1630	cbc:CountrySubentity	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1	
1520	ibt-040	Shared	1..1		1..1	3	Seller country code		Code	A code that identifies the country.			ISO 31662	JP	1670	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
1530	ibg-06	Shared	0..1		0..1	2	SELLER CONTACT			A group of business terms providing contact information about the Seller.					1810	cac:Contact	cac:ContactType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact			0..1	
1540	ibt-041	Shared	0..1		0..1	3	Seller contact point		Text	A contact point for a legal entity or person.				2	1820	cbc:Name	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name			0..1	
1550	ibt-042	Shared	0..1		0..1	3	Seller contact telephone number		Text	A phone number for the contact point.				03-3xxx-1234	1830	cbc:Telephone	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone			0..1	
1560	ibt-043	Shared	0..1		0..1	3	Seller contact email address		Text	An e-mail address for the contact point.				houjineigyou2@co.jp	1840	cbc:ElectronicMail	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1	
1570	ibg-07	Shared	1..1		1..1	1	BUYER			A group of business terms providing information about the Buyer.					1850	cac:AccountingCustomerParty	cac:CustomerPartyType	/Invoice/cac:AccountingCustomerParty			1..1	
1580	ibt-044	Shared	1..1		1..1	2	Buyer name		Text	The full name of the Buyer.					2090	cbc:RegistrationName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			0..1	CAR-2 CAR-3
1590	ibt-045	Shared	0..1		0..1	2	Buyer trading name		Text	"A name by which the Buyer is known, other than Buyer name (also known as Business name)."					1930	cbc:Name	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name			1..1	CAR-3
1600	ibt-046	Shared	0..1		0..1	2	Buyer identifier	ID	Identifier	An identifier of the Buyer.	ID			789KH512	1900	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1	CAR-3
1610	ibt-046-1	Shared	0..1		0..1	3	Scheme identifier	ID		"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	ISO/IEC6523	"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company."	0147 Standard Company Code JIPDEC 66126JIPDEC 6JIPDEC		1910	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID		ICD	0..1	
1620	ibt-047	Shared	0..1		0..1	2	Buyer legal registration identifier	ID	Identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	ID			654321:321:147:1	2100	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1	
1630	ibt-047-1	Shared	0..1		0..1	3	Scheme identifier	ID		"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	ISO/IEC6523	"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company."	0147 Standard Company Code JIPDEC 66126JIPDEC 6JIPDEC	147	2110	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1640	ibt-048	Aligned	0..1		0..1	2	Buyer TAX identifier	ID	Identifier	The Buyer's TAX identifier (also known as Buyer TAX identification number).	ID		T+		2050	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			0..1	
1650	ibt-049	Shared	1..1		1..1	2	Buyer electronic address		Identifier	Identifies the Buyer's electronic address to which the invoice is delivered.				7.70011E+12	1870	cbc:EndpointID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID			0..1	CAR-2
1660	ibt-049-1	Shared	1..1		1..1	3	Scheme identifier	ID		The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	IDConnecting Europe Facility (CEF) 	"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code, 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. "	"0147 Standard Company Code (JIPDEC/), 0170 Teikoku Company Code (), 0188 Corporate Number of The Social Security and Tax Number System () EASOpenPEPPOL"	188	1880	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID		eas	0..1	CAR-2
1670	ibg-08	Shared	1..1		1..1	2	BUYER POSTAL ADDRESS			A group of business terms providing information about the postal address for the Buyer.					1940	cac:PostalAddress	cac:AddressType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress			0..1	CAR-2
1680	ibt-050	Shared	0..1		0..1	3	Buyer address line 1	1	Text	The main address line in an address.					1950	cbc:StreetName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1	
1690	ibt-051	Shared	0..1		0..1	3	Buyer address line 2	2	Text	An additional address line in an address that can be used to give further details supplementing the main line.				76-X	1960	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1	
1700	ibt-163	Shared	0..1		0..1	3	Buyer address line 3	3	Text	An additional address line in an address that can be used to give further details supplementing the main line.					2010	cbc:Line	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3
1710	ibt-052	Shared	0..1		0..1	3	Buyer city	 	Text	"The common name of the city, town or village, where the Buyer's address is located."					1970	cbc:CityName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1	
1720	ibt-053	Shared	0..1		0..1	3	Buyer post code		Text	The identifier for an addressable group of properties according to the relevant postal service.				001-0012	1980	cbc:PostalZone	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1	
1730	ibt-054	Shared	0..1		0..1	3	Buyer country subdivision	 	Text	The subdivision of a country.					1990	cbc:CountrySubentity	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1	
1740	ibt-055	Shared	1..1		1..1	3	Buyer country code		Code	A code that identifies the country.			ISO 31662	JP	2030	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
1750	ibg-09	Shared	0..1		0..1	2	BUYER CONTACT			A group of business terms providing contact information relevant for the Buyer.					2120	cac:Contact	cac:ContactType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact			0..1	
1760	ibt-056	Shared	0..1		0..1	3	Buyer contact point		Text	A contact point for a legal entity or person.				  	2130	cbc:Name	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name			0..1	
1770	ibt-057	Shared	0..1		0..1	3	Buyer contact telephone number		Text	A phone number for the contact point.					2140	cbc:Telephone	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone			0..1	
1780	ibt-058	Shared	0..1		0..1	3	Buyer contact email address		Text	An e-mail address for the contact point.				purchaser@yamabussan.co.jp	2150	cbc:ElectronicMail	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1	
1790	ibg-10	Shared	0..1		0..1	1	PAYEE			"A group of business terms providing information about the Payee, i.e. the role that receives the payment."					2160	cac:PayeeParty	cac:PartyType	/Invoice/cac:PayeeParty			0..1	
1800	ibt-059	Shared	1..1		1..1	2	Payee name		Text	The name of the Payee.					2210	cbc:Name	udt:NameType	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name			1..1	CAR-2 CAR-3
1810	ibt-060	Shared	0..1		0..1	2	Payee identifier	ID	Identifier	An identifier for the Payee.	ID				2180	cbc:ID	udt:IdentifierType	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID			1..1	CAR-3
1820	ibt-060-1	Shared	0..1		0..1	2	Scheme identifier	ID		"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	ISO/ IEC 6523 		ISO/IEC 6523 		2190	@schemeID	xsd:normalizedString	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID		"ICD,SEPA"	0..1	
1830	ibt-061	Shared	0..1		0..1	2	Payee legal registration identifier	ID	Identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	ID				2230	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID			0..1	CAR-3
1840	ibt-061-1	Shared	0..1		0..1	3	Scheme identifier	ID		"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	ISO/IEC6523		ISO/IEC 6523 		2240	@schemeID	xsd:normalizedString	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1850	ibg-11	Aligned	0..1		0..1	1	SELLER TAX REPRESENTATIVE PARTY			A group of business terms providing information about the Seller's tax representative.					2250	cac:TaxRepresentativeParty	cac:PartyType	/Invoice/cac:TaxRepresentativeParty			0..1	
1860	ibt-062	Aligned	1..1		1..1	2	Seller tax representative name		Text	The full name of the Seller's tax representative party.					2270	cbc:Name	udt:NameType	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name			1..1	CAR-2 CAR-3
1870	ibt-063	Aligned	1..1		1..1	2	Seller tax representative TAX identifier	ID	Identifier	The TAX identifier of the Seller's tax representative party.	ID		(T+)		2390	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID			0..1	CAR-2 CAR-3
1880	ibg-12	Aligned	1..1		1..1	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS			A group of business terms providing information about the postal address for the tax representative party.					2280	cac:PostalAddress	cac:AddressType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress			0..1	CAR-2
