name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cac:TaxCategory,0..n,,TaxCategory,,A tax category applicable to this allowance or charge.,
cac:TaxTotal,0..1,,TaxTotal,,The total of all the taxes applicable to this allowance or charge.,
cac:PaymentMeans,0..n,,PaymentMeans,,A means of payment for this allowance or charge.,
cac:AppealTerms,,,,,"A class to describe the terms and conditions, set by the contracting authority, under which an appeal can be lodged for a tender award.",
cbc:Description,0..n,TextType,,,Text describing the terms of an appeal.,
cac:PresentationPeriod,0..1,,Period,,The period during which an appeal can be presented.,
cac:AppealInformationParty,0..1,,Party,,The party presenting the information for an appeal.,
cac:AppealReceiverParty,0..1,,Party,,The party to whom an appeal should be presented.,
cac:MediationParty,0..1,,Party,,The party that has been appointed to mediate any appeal.,
cac:Attachment,,,,,A class to describe an attached document. An attachment can refer to an external document or be included with the document being exchanged.,
cbc:EmbeddedDocumentBinaryObject,0..1,BinaryObjectType,,,A binary large object containing an attached document.,
cac:ExternalReference,0..1,,ExternalReference,,A reference to an attached document that is external to the document(s) being exchanged.,
cac:AuctionTerms,,,,,A class to describe the terms to be fulfilled by tenderers if an auction is to be executed before the awarding of a tender.,
cbc:AuctionConstraintIndicator,0..1,IndicatorType,,,Indicates whether an electronic auction will be used before the awarding of a contract (true) or not (false).,1
cbc:JustificationDescription,0..n,TextType,,,Text describing a justification for the use of an auction in awarding the tender.,
cbc:Description,0..n,TextType,,,Text for tenderers describing terms governing the auction.,
cbc:ProcessDescription,0..n,TextType,,,Text describing the auction process.,
cbc:ConditionsDescription,0..n,TextType,,,Text describing the conditions under which the tenderers will be able to bid as part of the auction.,
cbc:ElectronicDeviceDescription,0..n,TextType,,,"Text describing an electronic device used for the auction, including associated connectivity specifications.",
cbc:AuctionURI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of the electronic device used for the auction.,
cac:AwardingCriterion,,,,,"A class to define a criterion from the contracting party that will be taken into account when awarding a contract. An awarding criterion can be objective, when it can be evaluated following a formula, or subjective, when human analysis is required.",
cbc:ID,0..1,IdentifierType,,,Identifies a specific awarding criterion.,
cbc:AwardingCriterionTypeCode,0..1,CodeType,,,A code used to define this awarding criterion. ,
cbc:Description,0..n,TextType,,,A description of the awarding criterion.,
cbc:WeightNumeric,0..1,NumericType,,,"A number defining the comparative weighting assigned to this awarding criterion, to enable formulaic evaluation.",
cbc:Weight,0..n,TextType,,,A description of the comparative weighting for this awarding criterion.,
cbc:CalculationExpression,0..n,TextType,,,The mathematical expression that will be used to evaluate this criterion.,
cbc:CalculationExpressionCode,0..1,CodeType,,,A code identifying the mathematical expression that will be used to evaluate this criterion.,
cbc:MinimumQuantity,0..1,QuantityType,,,The minimum quantity for an awarding criterion.,
cbc:MaximumQuantity,0..1,QuantityType,,,The maximum quantity for an awarding criterion.,
cbc:MinimumAmount,0..1,AmountType,,,The minimum monetary amount for an awarding criterion.,
cbc:MaximumAmount,0..1,AmountType,,,The maximum monetary amount for an awarding criterion.,
cbc:MinimumImprovementBid,0..n,TextType,,,Describes the minimum improvement bid for this awarding criterion when used in an auction.,
cac:SubordinateAwardingCriterion,0..n,,AwardingCriterion,x,Defines any subsidiary awarding criterion.,
cac:AwardingCriterionResponse,,,,,Defines the response for an awarding criterion from the tendering party.,
cbc:ID,0..1,IdentifierType,,,An identification of this awarding criterion response.,
cbc:AwardingCriterionID,0..1,IdentifierType,,,An identifer of the awarding criterion being referred to.,
cbc:AwardingCriterionDescription,0..n,TextType,,,Describes the awarding criterion.,
cbc:Description,0..n,TextType,,,Describes the awarding criterion response.,
cbc:Quantity,0..1,QuantityType,,,Specifies the quantity tendered for this awarding criterion.,
cbc:Amount,0..1,AmountType,,,Specifies the monetary amount tendered for this awarding criterion.,
cac:SubordinateAwardingCriterionResponse,0..n,,AwardingCriterionResponse,x,Defines responses to any subsidiary awarding criterion.,
cac:AwardingTerms,,,,,A class to define the terms for awarding a contract.,
cbc:WeightingAlgorithmCode,0..1,CodeType,,,"A code signifying the weighting algorithm for awarding criteria. When multiple awarding criteria is used, different weighting and choices management algorithms based upon scores and weights of all award criteria can be used. An algorithm for weighting criteria shall be reported in the call for tenders document. It is used to determine how to perform the final management of tenders based on the results in each of the established award criteria",
cbc:Description,0..n,TextType,,,Text describing terms under which the contract is to be awarded.,
cbc:TechnicalCommitteeDescription,0..n,TextType,,,Text describing the committee of experts evaluating the subjective criteria for awarding the contract.,
cbc:LowTendersDescription,0..n,TextType,,,Text describing the exclusion criterion for abnormally low tenders.,
cbc:PrizeIndicator,0..1,IndicatorType,,,Indicates whether a prize will be awarded (true) or not (false).,1
cbc:PrizeDescription,0..n,TextType,,,Number and value of the prizes to be awarded.,
cbc:PaymentDescription,0..n,TextType,,,Details of payments to all participants.,
cbc:FollowupContractIndicator,0..1,IndicatorType,,,Indicates if any service contract following the contest will be awarded to the winner or one of the winners of the contest (true) or not (false).,1
cbc:BindingOnBuyerIndicator,0..1,IndicatorType,,,Indicates if the decision is binding on the buyer (true) or not (false). ,1
cac:AwardingCriterion,0..n,,AwardingCriterion,,Defines a criterion for awarding this tender.,
cac:TechnicalCommitteePerson,0..n,,Person,,A member of a committee of experts evaluating the subjective criteria for awarding the contract.,
cac:BillingReference,,,,,A class to define a reference to a billing document.,
cac:InvoiceDocumentReference,0..1,,DocumentReference,,A reference to an invoice.,
cac:SelfBilledInvoiceDocumentReference,0..1,,DocumentReference,,A reference to a self billed invoice.,
cac:CreditNoteDocumentReference,0..1,,DocumentReference,,A reference to a credit note.,
cac:SelfBilledCreditNoteDocumentReference,0..1,,DocumentReference,,A reference to a self billed credit note.,
cac:DebitNoteDocumentReference,0..1,,DocumentReference,,A reference to a debit note.,
cac:ReminderDocumentReference,0..1,,DocumentReference,,A reference to a billing reminder.,
cac:AdditionalDocumentReference,0..1,,DocumentReference,,A reference to an additional document.,
cac:BillingReferenceLine,0..n,,BillingReferenceLine,,A reference to a transaction line in the billing document.,
cac:BillingReferenceLine,,,,,A class to define a reference to a transaction line in a billing document.,
cbc:ID,1,IdentifierType,,,An identifier for this transaction line in a billing document.,
cbc:Amount,0..1,AmountType,,,"The monetary amount of the transaction line, including any allowances and charges but excluding taxes.",
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge applicable to the transaction line.,
cac:Branch,,,,,A class to describe a branch or a division of an organization.,
cbc:ID,0..1,IdentifierType,,,An identifier for this branch or division of an organization.,
cbc:Name,0..1,NameType,,,The name of this branch or division of an organization.,
cac:FinancialInstitution,0..1,,FinancialInstitution,,The financial institution that this branch belongs to (if applicable).,
cac:Address,0..1,,Address,,The address of this branch or division.,
cac:BudgetAccount,,,,,A class to define a budget account.,
cbc:ID,0..1,IdentifierType,,,"An identifier for the budget account, typically an internal accounting reference.",
cbc:BudgetYearNumeric,0..1,NumericType,,,"The number of the year for this budget account, e.g. 2012",
cac:RequiredClassificationScheme,0..1,,ClassificationScheme,,A classification scheme required for this budget account.,
cac:BudgetAccountLine,,,,,A class to define a budget account line.,
cbc:ID,0..1,IdentifierType,,,An identifier for this budget account line.,
cbc:TotalAmount,0..1,AmountType,,,The total monetary amount for this budget account line.,
cac:BudgetAccount,0..n,,BudgetAccount,,An account covering this budget account line.,
cac:Capability,,,,,A class to describe a specific capability of an organization.,
cbc:CapabilityTypeCode,0..1,CodeType,,,"This class can be used as Financial or Technical capabilities. For instance, ""Turnover"" or ""Qualified Engineers"" are two possible codes.",
cbc:Description,0..n,TextType,,,Text describing this capability.,
cbc:ValueAmount,0..1,AmountType,,,A monetary amount as a measure of this capability.,
cbc:ValueQuantity,0..1,QuantityType,,,A quantity as a measure of this capability.,
cac:EvidenceSupplied,0..n,,EvidenceSupplied,,The evidence that supports the capability claim.,
cac:ValidityPeriod,0..1,,Period,,The period of time for which this capability is (or has been) valid.,
cac:CardAccount,,,,,"A class to define a credit card, debit card, or charge card account.",
cbc:PrimaryAccountNumberID,1,IdentifierType,,,"An identifier of the card (e.g., the Primary Account Number (PAN)).",4558 XXXX XXXX XXXX (a real card number)
cbc:NetworkID,1,IdentifierType,,,An identifier for the financial service network provider of the card.,"VISA, MasterCard, American Express"
cbc:CardTypeCode,0..1,CodeType,,,"A mutually agreed code signifying the type of card. Examples of types are ""debit"", ""credit"" and ""purchasing""","Debit Card, Credit Card, Procurement Card"
cbc:ValidityStartDate,0..1,DateType,,,The date from which the card is valid.,
cbc:ExpiryDate,0..1,DateType,,,The date on which the card expires.,
cbc:IssuerID,0..1,IdentifierType,,,An identifier for the institution issuing the card.,
cbc:IssueNumberID,0..1,IdentifierType,,,"An identifier for the card, specified by the issuer.",
cbc:CV2ID,0..1,IdentifierType,,,An identifier for the Card Verification Value (often found on the reverse of the card itself).,
cbc:CardChipCode,0..1,CodeType,,,A mutually agreed code to distinguish between CHIP and MAG STRIPE cards.,
cbc:ChipApplicationID,0..1,IdentifierType,,,An identifier on the chip card for the application that provides the quoted information; an AID (application ID).,
cbc:HolderName,0..1,NameType,,,The name of the cardholder.,
cac:CatalogueItemSpecificationUpdateLine,,,,,A class to define a line describing the transaction that updates the specification of an item in a catalogue.,
cbc:ID,1,IdentifierType,,,An identifier for the line to be updated in a catalogue.,1 
cac:ContractorCustomerParty,0..1,,CustomerParty,,The customer responsible for the contract associated with the catalogue item.,
cac:SellerSupplierParty,0..1,,SupplierParty,,The seller/supplier responsible for the contract associated with the catalogue item.,
cac:Item,1,,Item,,The catalogue item to be updated.,
cac:CatalogueLine,,,,,A class to define a line in a Catalogue describing a purchasable item.,
cbc:ID,1,IdentifierType,,,An identifier for the line in the catalogue.,1 
cbc:ActionCode,0..1,CodeType,,,"A code signifying the action required to synchronize this catalogue line. Recommend codes (delete, update, add)","Replace , Update , Delete , Add "
cbc:LifeCycleStatusCode,0..1,CodeType,,,"A code signifying the life cycle status of this catalogue line. Examples are pre-order, end of production","new - announcement only , new and available , deleted - announcement only "
cbc:ContractSubdivision,0..1,TextType,,,A subdivision of a contract or tender covering this catalogue line.,"Installation , Phase One , Support and Maintenance "
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:OrderableIndicator,0..1,IndicatorType,,,An indicator that this catalogue line describes an orderable item (true) or is included for reference purposes only (false).,1
cbc:OrderableUnit,0..1,TextType,,,A textual description of the units in which the item described in this catalogue line can be ordered.,
cbc:ContentUnitQuantity,0..1,QuantityType,,,The numeric quantity of the ordering unit (and units of measure) of the catalogue line.,1
cbc:OrderQuantityIncrementNumeric,0..1,NumericType,,,The number of items that can set the order quantity increments.,
cbc:MinimumOrderQuantity,0..1,QuantityType,,,The minimum amount of the item described in this catalogue line that can be ordered.,10
cbc:MaximumOrderQuantity,0..1,QuantityType,,,The maximum amount of the item described in this catalogue line that can be ordered.,1
cbc:WarrantyInformation,0..n,TextType,,,Text about a warranty (provided by WarrantyParty) for the good or service described in this catalogue line.,"Unless specified otherwise and in addition to any rights the Customer may have under statute, Dell warrants to the Customer that Dell branded Products (excluding third party products and software), will be free from defects in materials and workmanship affecting normal use for a period of one year from invoice date ( Standard Warranty ). "
cbc:PackLevelCode,0..1,CodeType,,,A mutually agreed code signifying the level of packaging associated with the item described in this catalogue line.,"level 2 , Group 4 "
cac:ContractorCustomerParty,0..1,,CustomerParty,,The customer responsible for the contract with which this catalogue line is associated.,
cac:SellerSupplierParty,0..1,,SupplierParty,,The seller/supplier responsible for the contract with which this catalogue line is associated.,
cac:WarrantyParty,0..1,,Party,,The party responsible for any warranty associated with the item described in this catalogue line.,
cac:WarrantyValidityPeriod,0..1,,Period,,The period for which a warranty associated with the item in this catalogue line is valid.,
cac:LineValidityPeriod,0..1,,Period,,The period for which the information in this catalogue line is valid.,
cac:ItemComparison,0..n,,ItemComparison,,A combination of price and quantity used to provide price comparisons based on different sizes of order.,
cac:ComponentRelatedItem,0..n,,RelatedItem,,An item that may be a component of the item in this catalogue line.,
cac:AccessoryRelatedItem,0..n,,RelatedItem,,An item that may be an optional accessory of the item in this catalogue line.,
cac:RequiredRelatedItem,0..n,,RelatedItem,,An item that may be required for the item in this catalogue line.,
cac:ReplacementRelatedItem,0..n,,RelatedItem,,An item that may be a replacement for the item in this catalogue line.,
cac:ComplementaryRelatedItem,0..n,,RelatedItem,,An item that may complement the item in this catalogue line.,
cac:ReplacedRelatedItem,0..n,,RelatedItem,,An item in an existing catalogue that is being replaced by the item in this catalogue line.,
cac:RequiredItemLocationQuantity,0..n,,ItemLocationQuantity,,Properties of the item in this catalogue line that are dependent on location and quantity.,
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this catalogue line.,
cac:Item,1,,Item,,A specification of the item itself.,
cac:KeywordItemProperty,0..n,,ItemProperty,,A property of the item in this catalogue line.,
cac:CallForTendersLineReference,0..1,,LineReference,,Reference to a Line on a Call For Tenders document.,
cac:CallForTendersDocumentReference,0..1,,DocumentReference,,A class defining references to a Call For Tenders document.,
cac:CataloguePricingUpdateLine,,,,,A class to define a line describing a pricing update to a catalogue line.,
cbc:ID,1,IdentifierType,,,An identifier for the catalogue line to be updated.,1 
cac:ContractorCustomerParty,0..1,,CustomerParty,,The customer responsible for the contract associated with the catalogue line being updated.,
cac:SellerSupplierParty,0..1,,SupplierParty,,The seller/supplier responsible for the contract associated with the catalogue line being updated.,
cac:RequiredItemLocationQuantity,0..n,,ItemLocationQuantity,,Updated properties of the item in this catalogue line that are dependent on location and quantity.,
cac:CatalogueReference,,,,,A class to define a reference to a catalogue.,
cbc:ID,1,IdentifierType,,,An identifier for a specific catalogue.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for a specific catalogue.,
cbc:IssueDate,0..1,DateType,,,The date on which the catalogue was issued.,
cbc:IssueTime,0..1,TimeType,,,The time at which the catalogue was issued.,
cbc:RevisionDate,0..1,DateType,,,The date on which the information in the catalogue was last revised.,
cbc:RevisionTime,0..1,TimeType,,,The time at which the information in the catalogue was last revised.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Description,0..n,TextType,,,Text describing the catalogue.,computer accessories for laptops 
cbc:VersionID,0..1,IdentifierType,,,An identifier for the current version of the catalogue.,1.1 
cbc:PreviousVersionID,0..1,IdentifierType,,,An identifier for the previous version of the catalogue that is superseded by this version.,1.0 
cac:CatalogueRequestLine,,,,,A class to define a line describing a request for a catalogue line.,
cbc:ID,1,IdentifierType,,,An identifier for the requested catalogue line.,1 
cbc:ContractSubdivision,0..1,TextType,,,A subdivision of a contract or tender covering the line being requested.,"Installation , Phase One , Support and Maintenance "
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cac:LineValidityPeriod,0..1,,Period,,The period for which the information in the requested catalogue line is valid.,
cac:RequiredItemLocationQuantity,0..n,,ItemLocationQuantity,,Properties of the item in the requested catalogue line that are dependent on location and quantity.,
cac:Item,1,,Item,,The item associated with the requested catalogue line.,
cac:Certificate,,,,,A class to define a certificate applied to the item. Certificated can be a requirement to sell goods or services in a jurisdiction.,
cbc:ID,1,IdentifierType,,,An identifier for this certificate.,
cbc:CertificateTypeCode,1,CodeType,,,"The type of this certificate, expressed as a code. The type specifies what array it belongs to, e.g.. Environmental, security, health improvement etc.",
cbc:CertificateType,1,TextType,,,"The type of this certificate, expressed as a code. The type specifies what array it belongs to, e.g.. Environmental, security, health improvement etc.",
cbc:Remarks,0..n,TextType,,,Remarks by the applicant for this certificate.,
cac:IssuerParty,1,,Party,,"The authorized organization that issued this certificate, the provider of the certificate.",
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document relevant to this certificate or an application for this certificate.,
cac:Signature,0..n,,Signature,,A signature applied to this certificate.,
cac:CertificateOfOriginApplication,,,,,A class to define an application for a Certificate of Origin (CoO).,
cbc:ReferenceID,1,IdentifierType,,,An identifier for a reference as part of the CoO application.,
cbc:CertificateType,1,TextType,,,"The type of CoO being applied for (Ordinary, Re-export, Commonwealth Preferential, etc.).",
cbc:ApplicationStatusCode,0..1,CodeType,,,"A code signifying the status of the application (revision, replacement, etc.).",
cbc:OriginalJobID,1,IdentifierType,,,The latest job number given to the CoO application. This is used by the system to keep track of amendments to or cancellation of any earlier applications.,
cbc:PreviousJobID,0..1,IdentifierType,,,An identifier for the previous job used in case the application requires query or change.,
cbc:Remarks,0..n,TextType,,,Remarks by the applicant for the CoO.,
cac:Shipment,1,,Shipment,,The shipment of goods covered by the CoO.,
cac:EndorserParty,1..n,,EndorserParty,,A party providing an endorsement to the CoO.,
cac:PreparationParty,1,,Party,,"The party (individual, group, or body) that prepared this CoO application.",
cac:IssuerParty,1,,Party,,The organization authorized to issue the CoO requested by this application.,
cac:ExporterParty,0..1,,Party,,"The party making an export declaration, or on behalf of which the export declaration is made, and that is the owner of the goods or has similar right of disposal over them at the time when the declaration is accepted.",
cac:ImporterParty,0..1,,Party,,"The party making an import declaration, or on behalf of which a customs clearing agent or other authorized person makes an import declaration. This may include a person who has possession of the goods or to whom the goods are consigned.",
cac:IssuingCountry,1,,Country,,The country where the requested CoO will be issued.,
cac:DocumentDistribution,0..n,,DocumentDistribution,,An interested party to which the CoO is to be distributed.,
cac:SupportingDocumentReference,0..n,,DocumentReference,,A reference to a document supporting this application.,
cac:Signature,0..n,,Signature,,A signature applied to this application.,
cac:ClassificationCategory,,,,,A class to define a category within a classification scheme.,
cbc:Name,0..1,NameType,,,The name of this category within the classification scheme.,"UNSPSC Class , UNSPSC Segment , UNSPSC Family "
cbc:CodeValue,0..1,TextType,,,The value of a code used to identify this category within the classification scheme.,"3420001, 3273666, HSJJD-213"
cbc:Description,0..n,TextType,,,Text describing this category.,"Electrical Goods , Wooden Toys "
cac:CategorizesClassificationCategory,0..n,,ClassificationCategory,x,A recursive description of a subcategory of this category.,
cac:ClassificationScheme,,,,,"A class to define a classification scheme, such as a taxonomy for classifying goods or services.",
cbc:ID,1,IdentifierType,,,An identifier for this classification scheme.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this classification scheme.,
cbc:LastRevisionDate,0..1,DateType,,,The date on which this classification scheme was last revised.,
cbc:LastRevisionTime,0..1,TimeType,,,The time at which this classification scheme was last revised.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Name,0..1,NameType,,,The name of this classification scheme.,UNSPSC 
cbc:Description,0..n,TextType,,,Text describing this classification scheme.,"an open, global multi-sector standard for classification of products and services "
cbc:AgencyID,0..1,IdentifierType,,,An identifier for the agency that maintains this classification scheme.,Defaults to the UN/EDIFACT data element 3055 code list.
cbc:AgencyName,0..1,TextType,,,The name of the agency that maintains the classification scheme.,
cbc:VersionID,0..1,IdentifierType,,,An identifier for the version of this classification scheme.,
cbc:URI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of the documentation for this classification scheme.,
cbc:SchemeURI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of this classification scheme.,
cbc:LanguageID,0..1,IdentifierType,,,An identifier for the language of this classification scheme.,
cac:ClassificationCategory,1..n,,ClassificationCategory,,A description of a category within this classification scheme.,
cac:Clause,,,,,"A class to define a clause (a distinct article or provision) in a contract, treaty, will, or other formal or legal written document requiring compliance.",
cbc:ID,0..1,IdentifierType,,,An identifier for this clause.,
cbc:Content,0..n,TextType,,,The text of this clause.,
cac:CommodityClassification,,,,,A class to describe the classification of a commodity.,
cbc:NatureCode,0..1,CodeType,,,A code defined by a specific maintenance agency signifying the high-level nature of the commodity.,wooden products 
cbc:CargoTypeCode,0..1,CodeType,,,A mutually agreed code signifying the type of cargo for purposes of commodity classification.,Refrigerated 
cbc:CommodityCode,0..1,CodeType,,,The harmonized international commodity code for cross border and regulatory (customs and trade statistics) purposes.,1102222883 
cbc:ItemClassificationCode,0..1,CodeType,,,A code signifying the trade classification of the commodity.,3440234 
cac:Communication,,,,,A class to describe a means of communication.,
cbc:ChannelCode,0..1,CodeType,,,"The method of communication, expressed as a code.",Phone Fax Email
cbc:Channel,0..1,TextType,,,"The method of communication, expressed as text.",Skype
cbc:Value,0..1,TextType,,,"An identifying value (phone number, email address, etc.) for this channel of communication",+44 1 2345 6789 president@whitehouse.com 
cac:CompletedTask,,,,,A class to describe the completion of a specific task in the tendering process.,
cbc:AnnualAverageAmount,0..1,AmountType,,,The average monetary amount of a task such as this completed task.,
cbc:TotalTaskAmount,0..1,AmountType,,,The actual total monetary amount of this completed task.,
cbc:PartyCapacityAmount,0..1,AmountType,,,A monetary amount corresponding to the financial capacity of the party that carried out this completed task.,
cbc:Description,0..n,TextType,,,Text describing this completed task.,
cac:EvidenceSupplied,0..n,,EvidenceSupplied,,"The evidence justifying a designation of ""complete"" for this task.",
cac:Period,0..1,,Period,,The period in which this completed task was performed.,
cac:RecipientCustomerParty,0..1,,CustomerParty,,The original customer for this completed task.,
cac:Condition,,,,,A class to define a measurable condition of an object.,
cbc:AttributeID,1,IdentifierType,,,An identifier for the attribute that applies to the condition.,
cbc:Measure,0..1,MeasureType,,,The measurement value.,
cbc:Description,0..n,TextType,,,Text describing the attribute that applies to the condition.,
cbc:MinimumMeasure,0..1,MeasureType,,,The minimum value in a range of measurement for this condition.,
cbc:MaximumMeasure,0..1,MeasureType,,,The maximum value in a range of measurement for this condition.,
cac:Consignment,,,,,"A class to describe an identifiable collection of one or more goods items to be transported between the consignor and the consignee. This information may be defined within a transport contract. A consignment may comprise more than one shipment (e.g., when consolidated by a freight forwarder).",
cbc:ID,1,IdentifierType,,,An identifier assigned to a collection of goods for both import and export.,
cbc:CarrierAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the carrier.",
cbc:ConsigneeAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the consignee.",
cbc:ConsignorAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the consignor.",
cbc:FreightForwarderAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the freight forwarder.",
cbc:BrokerAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the broker.",
cbc:ContractedCarrierAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the contracted carrier.",
cbc:PerformingCarrierAssignedID,0..1,IdentifierType,,,"An identifier for this consignment, assigned by the performing carrier.",
cbc:SummaryDescription,0..n,TextType,,,A textual summary description of the consignment.,
cbc:TotalInvoiceAmount,0..1,AmountType,,,The total of all invoice amounts declared in this consignment.,
