SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja			Example Value (___)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment		Aligned rule	Shared rule	Codelist rule	Pooled rule
1050	ibt-005	Shared	1..1		1..1	1	Invoice currency code	________	Code	"The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency."	_______________________________________________________________	The currency code must be the one listed in the ISO 4217 Currency codes. 	_______ISO 4217 Currency codes _______________________	JPY	1110	cbc:DocumentCurrencyCode	udt:CodeType	/Invoice/cbc:DocumentCurrencyCode		ISO4217	0..1	CAR-2	CAR-2		"[ibr-5]-An Invoice MUST have an Invoice currency code (ibt-5).
[ibr-77]-Tax accounting currency code (ibt-6) MUST be different from invoice currency code (ibt-5) when provided."	"CODELIST:
[ibr-cl-4]-Invoice currency code MUST be coded using ISO code list 4217 alpha-3"	
1060	ibt-006	Aligned	0..1		0..1	1	Tax accounting currency	___________	Code	The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.	__________________________________________________________________	The currency code must be the one listed in the ISO 4217 Currency codes. 	_______ISO 4217 Currency codes _______________________		1120	cbc:TaxCurrencyCode	udt:CodeType	/Invoice/cbc:TaxCurrencyCode		ISO4217	0..1			"[aligned-ibr-jp-5]-If Tax accounting currency (ibt-6) is present, it shall be coded using JPY in ISO code list of 4217 a-3."	"[ibr-53]-If the Tax accounting currency code (ibt-6) is present, then the Invoice total Tax amount in accounting currency (ibt-111) MUST be provided.
[ibr-77]-Tax accounting currency code (ibt-6) MUST be different from invoice currency code (ibt-5) when provided."	"CODELIST:
[ibr-cl-5]-Tax currency code MUST be coded using ISO code list 4217 alpha-3"	"POOLED:
[aligned-ibrp-22]-Only one tax total without tax subtotals (ibg-37) MUST be provided when tax currency code (ibt-6) is provided."
1200	ibt-019	Shared	0..1		0..1	1	Buyer accounting reference	_______	Text	A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.	________________________________________________________________				1130	cbc:AccountingCost	udt:TextType	/Invoice/cbc:AccountingCost			0..1						
1100	ibt-010	Shared	0..1		0..1	1	Buyer reference	_____	Text	An identifier assigned by the Buyer used for internal routing purposes.	______________ID____________________________			abc-123	1140	cbc:BuyerReference	udt:TextType	/Invoice/cbc:BuyerReference			0..1						
2010	ibg-14	Shared	0..1		0..1	2	INVOICING PERIOD	____		A group of business terms providing information on the invoice period.	___________________________				1150	cac:InvoicePeriod	cac:PeriodType	/Invoice/cac:InvoicePeriod			0..n	CAR-3	CAR-3	"[aligned-ibr-jp-1]-If a date of an invoice period (ibg-14) or an invoice line period (ibg-26) is on and after October 1st 223, Seller Tax Identifier shall be coded by using a Registration Number for Qualified Invoice purpose in Japan, which consists of 14 digits that start with T.
[aligned-ibrp-52]-An Invoice MUST have an invoice period (ibg-14) or an Invoice line period (ibg-26)."	"[ibr-85]-Start date of line period (ibt-134) MUST be within invoice period (ibg-14).
[ibr-86]-End date of line period (ibt-135) MUST be within invoice period (ibg-14).
[ibr-97]-Invoicing period (ibg-14) MUST occur maximum once.
[ibr-co-19]-If Invoicing period (ibg-14) is used, the Invoicing period start date (ibt-73) or the Invoicing period end date (ibt-74) MUST be filled, or both."		"POOLED:
[aligned-ibrp-52]-An Invoice MUST have an invoice period (ibg-14) or an Invoice line period (ibg-26).
[aligned-ibrp-ic-11]-In an Invoice with a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" the Actual delivery date (ibt-72) or the Invoicing period (ibg-14) MUST not be blank."
2020	ibt-073	Shared	0..1		0..1	3	Invoicing period start date	_______	Date	The date when the Invoice period starts.	________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____	2023-11-01	1160	cbc:StartDate	udt:DateType	/Invoice/cac:InvoicePeriod/cbc:StartDate			0..1				"[ibr-29]-If both Invoicing period start date (ibt-73) and Invoicing period end date (ibt-74) are given then the Invoicing period end date (ibt-74) MUST be later or equal to the Invoicing period start date (ibt-73).
[ibr-co-19]-If Invoicing period (ibg-14) is used, the Invoicing period start date (ibt-73) or the Invoicing period end date (ibt-74) MUST be filled, or both."		
2030	ibt-074	Shared	0..1		0..1	3	Invoicing period end date	_______	Date	The date when the Invoice period ends.	________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____	2023-11-30	1170	cbc:EndDate	udt:DateType	/Invoice/cac:InvoicePeriod/cbc:EndDate			0..1				"[ibr-29]-If both Invoicing period start date (ibt-73) and Invoicing period end date (ibt-74) are given then the Invoicing period end date (ibt-74) MUST be later or equal to the Invoicing period start date (ibt-73).
[ibr-co-19]-If Invoicing period (ibg-14) is used, the Invoicing period start date (ibt-73) or the Invoicing period end date (ibt-74) MUST be filled, or both."		
1080	ibt-008	Aligned	0..1		0..1	1	TAX point date code	________	Code	The code of the date when the TAX becomes accountable for the Seller and for the Buyer.	_____________________________	"The TAX point date code must be the one listed in the UNCL2005 subset. 
3 Invoice document issue date time 
35 Delivery date/time, actual
432 Paid to date"	"VAT date code (UNCL2005 subset) _______
3 Invoice document issue date time (_________)
35 Delivery date/time, actual (________)
432 Paid to date (___)"	3	1180	cbc:DescriptionCode	udt:CodeType	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode		UNCL25	0..n	CAR-3	CAR-3			NOBU: may need co\delist requirement for UNCL25	
															1190	cac:OrderReference	cac:OrderReferenceType	/Invoice/cac:OrderReference			0..1						
1130	ibt-013	Shared	0..1		0..1	1	Purchase order reference	______	Document Reference	"An identifier of a referenced purchase order, issued by the Buyer."	___________________________________			AA-123-BB	1200	cbc:ID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:ID			1..1						
1140	ibt-014	Shared	0..1		0..1	1	Sales order reference	____	Document Reference	An identifier of a referenced sales order issued by the Seller.	_______________________________				1210	cbc:SalesOrderID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:SalesOrderID			0..1						
1300	ibg-03	Shared	0..n		0..n	1	PRECEDING INVOICE REFERENCE	_________		A group of business terms providing information on one or more preceding Invoices.	1_______________________________________				1220	cac:BillingReference	cac:BillingReferenceType	/Invoice/cac:BillingReference			0..n				[ibr-55]-Each Preceding Invoice reference (ibg-3) MUST contain a Preceding Invoice reference (ibt-25).		
															1230	cac:InvoiceDocumentReference	cac:DocumentReferenceType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference			0..1						
1310	ibt-025	Shared	1..1		1..1	2	Preceding Invoice reference	_________	Document Reference	The identification of an Invoice that was previously sent by the Seller.	_________________				1240	cbc:ID	udt:IdentifierType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID			1..1				[ibr-55]-Each Preceding Invoice reference (ibg-3) MUST contain a Preceding Invoice reference (ibt-25).		
1320	ibt-026	Shared	0..1		0..1	2	Preceding Invoice issue date	________	Date	The date when the Preceding Invoice was issued.	__________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____		1250	cbc:IssueDate	udt:DateType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate			0..1						
															1260	cac:DespatchDocumentReference	cac:DocumentReferenceType	/Invoice/cac:DespatchDocumentReference			0..n						
1160	ibt-016	Shared	0..1		0..1	1	Despatch advice reference	_____(___)__	Document Reference	An identifier of a referenced despatch advice.	_____________________				1270	cbc:ID	udt:IdentifierType	/Invoice/cac:DespatchDocumentReference/cbc:ID			1..1	CAR-3	CAR-3		"[ibr-92]-If despatch advice reference exists on line (ibt-184) then there MUST not be despatch reference on document level (ibt-16).
[ibr-96]-Despatch advice reference (ibt-16) MUST occur maximum once."		
															1280	cac:ReceiptDocumentReference	cac:DocumentReferenceType	/Invoice/cac:ReceiptDocumentReference			0..n						
1150	ibt-015	Shared	0..1		0..1	1	Receiving advice reference	_____(___)__	Document Reference	An identifier of a referenced receiving advice.	_____________________				1290	cbc:ID	udt:IdentifierType	/Invoice/cac:ReceiptDocumentReference/cbc:ID			1..1	CAR-3	CAR-3		[ibr-95]-Receiving advice reference (ibt-15) MUST occur maximum once.		
															1300	cac:OriginatorDocumentReference	cac:DocumentReferenceType	/Invoice/cac:OriginatorDocumentReference			0..n						
1170	ibt-017	Shared	0..1		0..1	1	Tender or lot reference	_________	Document Reference	The identification of the call for tender or lot the invoice relates to.	________________				1310	cbc:ID	udt:IdentifierType	/Invoice/cac:OriginatorDocumentReference/cbc:ID			1..1	CAR-3	CAR-3				
															1320	cac:ContractDocumentReference	cac:DocumentReferenceType	/Invoice/cac:ContractDocumentReference			0..n						
1120	ibt-012	Shared	0..1		0..1	1	Contract reference	_____	Document Reference	The identification of a contract.	__________________				1330	cbc:ID	udt:IdentifierType	/Invoice/cac:ContractDocumentReference/cbc:ID			1..1	CAR-3	CAR-3		[ibr-94]-Contract reference (ibt-12) MUST occur maximum once.		
															1340	cac:AdditionalDocumentReference	cac:DocumentReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']	cbc:DocumentTypeCode = 130		0..n						
1180	ibt-018	Shared	0..1		0..1	1	Invoiced object identifier	__________ID	Identifier	"An identifier for an object on which the invoice is based, given by the Seller."	_________ID_________________________ID_____________				1350	cbc:ID	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID			1..1	CAR-3	CAR-3		"[ibr-71]-An invoice should not include an AdditonalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Attachment (ibt-125).
[ibr-72]-An invoice MUST not include an AdditionalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Document Description (ibt-123).
[ibr-78]-Only one invoiced object (ibt-18) is allowed on document level."	"CODELIST:
[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153."	
1190	ibt-018-1	Shared	0..1		0..1	1	The identification scheme identifier of the Invoiced object identifier.	__________ID_____ID	_	"If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries."	________ID__________________________UNTDID1153_____________________ID___________				1360	@schemeID	xsd:normalizedString	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID		UNCL1153	0..1						
2880	ibg-24	Shared	0..n		0..n	1	ADDITIONAL SUPPORTING DOCUMENTS	____		A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.	______________________________________________		______________________________________(URL_________)_____________(PDF___________)______________________________(URL_________)_____________		1380	cac:AdditionalDocumentReference	cac:DocumentReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']	cbc:DocumentTypeCode != 130		0..n				"[ibr-52]-Each Additional supporting document (ibg-24) MUST contain a Supporting document reference (ibt-122).
[ibr-71]-An invoice should not include an AdditonalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Attachment (ibt-125).
[ibr-72]-An invoice MUST not include an AdditionalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Document Description (ibt-123)."	"CODELIST:
[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153."	
2890	ibt-122	Shared	1..1		1..1	2	Supporting document reference	________	Document Reference	An identifier of the supporting document.	_____ID_				1390	cbc:ID	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cbc:ID			1..1				[ibr-52]-Each Additional supporting document (ibg-24) MUST contain a Supporting document reference (ibt-122).	"CODELIST:
[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153."	
2900	ibt-123	Shared	0..1		0..1	2	Supporting document description	_______	Text	A description of the supporting document.	________				1400	cbc:DocumentDescription	udt:TextType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cbc:DocumentDescription			0..n	CAR-3	CAR-3		"[ibr-72]-An invoice MUST not include an AdditionalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Document Description (ibt-123).
NOBU: may need to restrict maximum one"	"CODELIST:
[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153."	
															1410	cac:Attachment	cac:AttachmentType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='129']/cac:Attachment			0..1						
2920	ibt-125	Shared	0..1		0..1	2	Attached document	____	Binary object	An attached document embedded as binary object or sent together with the invoice.	_______________________________________				1420	cbc:EmbeddedDocumentBinaryObject	udt:BinaryObjectType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject			0..1				"SHARED:
[ibr-71]-An invoice should not include an AdditonalDocumentReference (ibg-24) simultaneously referring an Invoice Object Identifier (ibt-18) and an Attachment (ibt-125)."	"CODELIST:
[ibr-cl-7]-Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153.
[ibr-cl-24]-Mime code must be according to subset of IANA code list."	
2930	ibt-125-1	Aligned	1..1		1..1	3	Attached document Mime code	____MIME___	_	"Allowed mime codes:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. spreadsheet"	"_______MIME___:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. Spreadsheet"				1430	@mimeCode	xsd:normalizedString	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode		MimeCode	1..1						
2940	ibt-125-2	Shared	1..1		1..1	3	Attached document Filename	_________	_	_	_				1440	@filename	xsd:string	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename			0..1	CAR-2	CAR-2				
															1450	cac:ExternalReference	cac:ExternalReferenceType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cac:ExternalReference			0..1						
2945	ibt-124	Shared	0..1		0..1	2	External document location	_______________	Text	The URL (Uniform Resource Locator) that identifies where the external document is located.	______________URL________________		____http://___ ftp://.____________________________________________________________________________________________________________________		1460	cbc:URI	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode!='130']/cac:Attachment/cac:ExternalReference/cbc:URI			0..1						
															1470	cac:ProjectReference	cac:ProjectReferenceType	/Invoice/cac:ProjectReference			0..n						
1110	ibt-011	Shared	0..1		0..1	1	Project reference	________	Document Reference	The identification of the project the invoice refers to	______________________________		_________________ID_		1480	cbc:ID	udt:IdentifierType	/Invoice/cac:ProjectReference/cbc:ID			1..1	CAR-3	CAR-3		"SHARED:
[ibr-9]-Only one project reference (ibt-11) is allowed on document level."		
1330	ibg-04	Shared	1..1		1..1	1	SELLER	___		A group of business terms providing information about the Seller.	_________________________				1490	cac:AccountingSupplierParty	cac:SupplierPartyType	/Invoice/cac:AccountingSupplierParty			1..1				"SHARED:
[ibr-17]-The Payee name (ibt-59) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4).
[ibr-18]-The Seller tax representative name (ibt-62) MUST be provided in the Invoice, if the Seller (ibg-4) has a Seller tax representative party (ibg-11)
[ibr-19]-The Seller tax representative postal address (ibg-12) MUST be provided in the Invoice, if the Seller (ibg-4) has a Seller tax representative party (ibg-11).
[ibr-2]-The Seller tax representative postal address (ibg-12) MUST contain a Tax representative country code (ibt-69), if the Seller (ibg-4) has a Seller tax representative party (ibg-11).
[ibr-15]-The Payee identifier (ibt-6) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4).
[ibr-16]-The Payee legal identifier (ibt-61) MUST be provided in the Invoice, if the Payee (ibg-1) is different from the Seller (ibg-4)."		
															1500	cac:Party	cac:PartyType	/Invoice/cac:AccountingSupplierParty/cac:Party			0..1						
1430	ibt-034	Shared	1..1		1..1	2	Seller electronic address	_________	Identifier	Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.	___________________________________________	"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network."	__________________________________________________/______/___________________________________________________________(__ https://docs.peppol.eu/poacc/upgrade-3/profiles/63-invoiceresponse/)	8700110005901	1510	cbc:EndpointID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID			0..1	CAR-2	CAR-2		"SHARED:
[ibr-081]-The Seller electronic address (ibt-034) MUST be provided."		
1440	ibt-034-1	Shared	1..1		1..1	3	Scheme identifier	____ID	_	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	____ID__Connecting Europe Facility (CEF) ______________________	"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code, 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. "	"0147 Standard Company Code (JIPDEC___/_________), 0170 Teikoku Company Code (______________), 0188 Corporate Number of The Social Security and Tax Number System (_____________) _EAS______________________OpenPEPPOL_____"	0188	1520	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID		eas	0..1	CAR-2	CAR-2		[ibr-62]-The Seller electronic address (ibt-34) MUST have a Scheme identifier.	"CODELIST:
[ibr-cl-25]-Endpoint identifier scheme identifier MUST belong to the CEF EAS code list"	
															1530	cac:PartyIdentification	cac:PartyIdentificationType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification			0..n						
1445	ibt-090	Aligned	0..1		0..1	3	Bank assigned creditor identifier	______________	Identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	_____________________________________		SEPA______________________		1540	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1	CAR-3	CAR-3		NOBU: may need MUST occur maximum once.		
															1550	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID			0..1						
															1560	cac:PartyName	cac:PartyNameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName			0..n						
1350	ibt-028	Shared	0..1		0..1	2	Seller trading name	_____	Text	"A name by which the Seller is known, other than Seller name (also known as Business name)."	__________________________________			________	1570	cbc:Name	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name			1..1	CAR-3	CAR-3		"SHARED:
[ibr-99]-Seller trader name (ibt-28) MUST occur maximum once."		
1450	ibg-05	Shared	1..1		1..1	2	SELLER POSTAL ADDRESS	_____		A group of business terms providing information about the address of the Seller.	_____________________________				1580	cac:PostalAddress	cac:AddressType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress			0..1	CAR-2	CAR-2		"SHARED:
[ibr-8]-An Invoice MUST contain the Seller postal address (ibg-5).
[ibr-9]-The Seller postal address (ibg-5) MUST contain a Seller country code (ibt-4)."		
1460	ibt-035	Shared	0..1		0..1	3	Seller address line 1	______1	Text	The main address line in an address.	_____________			__4-29-X	1590	cbc:StreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1						
1470	ibt-036	Shared	0..1		0..1	3	Seller address line 2	______2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	____________________________________			______	1600	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1						
1490	ibt-037	Shared	0..1		0..1	3	Seller city	_____ ____	Text	"The common name of the city, town or village, where the Seller address is located."	_________________			___	1610	cbc:CityName	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1						
1500	ibt-038	Shared	0..1		0..1	3	Seller post code	_______	Text	The identifier for an addressable group of properties according to the relevant postal service.	____________			160-0004	1620	cbc:PostalZone	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1						
1510	ibt-039	Shared	0..1		0..1	3	Seller country subdivision	_____ ____	Text	The subdivision of a country.	____________		____________	___	1630	cbc:CountrySubentity	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1						
															1640	cac:AddressLine	cac:AddressLineType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine			0..n						
1480	ibt-162	Shared	0..1		0..1	3	Seller address line 3	______3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	_______________________________________				1650	cbc:Line	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3	CAR-3		[ibr-sr-53]-The Seller Postal Address Line (ibt-162) MUST occur maximum once.		
															1660	cac:Country	cac:CountryType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country			0..1						
1520	ibt-040	Shared	1..1		1..1	3	Seller country code	_______	Code	A code that identifies the country.	____________		ISO 3166_____________2_______	JP	1670	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2	CAR-2		"SHARED:
[ibr-9]-The Seller postal address (ibg-5) MUST contain a Seller country code (ibt-4)."	"CODELIST:
[ibr-cl-14]-Country codes in an invoice MUST be coded using ISO code list 3166-1"	
															1680	cac:PartyTaxScheme	cac:PartyTaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID='VAT']	"cac:TaxScheme = ""VAT"""		0..n						
1400	ibt-031	Aligned	0..1		0..1	2	Seller TAX identifier	____ID	Identifier	The Seller’s TAX identifier (also known as Seller TAX identification number).	_____ID(_________________	"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network."	_____________________ T+__________	T8700110005901	1690	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cbc:ID='VAT']/cbc:CompanyID			0..1			"[aligned-ibr-jp-4]-An Invoice shall have the Seller tax identifier (ibt-31).
[aligned-ibrp-9]-Seller tax identifier (ibt-31) MUST occur maximum once.
[aligned-ibrp-sr-12]-Seller VAT identifier (ibt-31) MUST occur maximum once"	"SHARED:
[ibr-co-26]-In order for the buyer to automatically identify a supplier, the Seller identifier (ibt-29), the Seller legal registration identifier (ibt-3) and/or the Seller Tax identifier (ibt-31) MUST be present."		"POOLED:
[aligned-ibrp-9]-Seller tax identifier (ibt-31) MUST occur maximum once.
[aligned-ibrp-sr-12]-Seller VAT identifier (ibt-31) MUST occur maximum once"
															1700	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme			1..1						
